CODE,Sales_Date,Id_Producto,Customer_ID,PVP,MOTIVO_VENTA,FORMA_PAGO,EXTENSION_GARANTIA,SEGURO_BATERIA_LARGO_PLAZO,MANTENIMIENTO_GRATUITO,FIN_GARANTIA,BASE_DATE,EN_GARANTIA,COSTE_VENTA_NO_IMPUESTOS,GENERO,CODIGO_POSTAL,Edad,RENTA_MEDIA_ESTIMADA,ENCUESTA_CLIENTE_ZONA_TALLER,STATUS_SOCIAL,Modelo,TIPO_CARROCERIA,Fuel,TRANSMISION_ID,Equipamiento,Kw,Revisiones,Km_medio_por_revision,km_ultima_revision,QUEJA,Lead_compra,Lead_compra_1,TIENDA_DESC,PROV_DESC,ZONA,Origen,Margen_eur_bruto,Margen_eur
SYN000017,18/03/2024,PA200038,65885,22094,No Particular,Contado,NO,NO,0,17/03/2028,31/12/2023,SI,1034,F,CP6350,37,17824,124,K,B,TIPO1,HÍBRIDO,M,Mid,106,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,5759.91,2730.48
SYN000018,10/03/2024,PA200041,35759,28667,Particular,Financiera Marca,"SI, Financiera",NO,4,09/03/2028,31/12/2023,SI,1034,M,CP28231,38,0,0,,I,TIPO7,HÍBRIDO,M,High,106,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Internet,9738.18,6189.49
SYN000019,31/01/2024,PA200063,104862,23744,Particular,Financiera Marca,"SI, Financiera",NO,0,30/01/2028,31/12/2023,SI,3232,F,CP19208,57,32218,97,C,C,TIPO4,HÍBRIDO,M,Mid,81,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,6190.06,-2919.27
SYN000020,27/02/2024,PA200089,100155,20999,Particular,Financiera Marca,NO,NO,0,26/02/2028,31/12/2023,SI,1514,M,CP4007,41,24093,12,H,B,TIPO6,HÍBRIDO,M,High,77,0,0,0,,0,0,SEVILLA,SEVILLA,SUR,Tienda,5474.44,2051.52
SYN000021,09/03/2024,PA200052,85346,22764,Particular,Contado,SI,NO,0,08/03/2028,31/12/2023,SI,683,F,CP8339,42,31429,13,C,E,TIPO2,HÍBRIDO,M,Mid,89,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,6653.92,325.85
SYN000022,02/01/2024,PA200017,104326,23547,No Particular,Otros,"SI, Financiera",NO,0,01/01/2028,31/12/2023,SI,1294,M,CP41005,40,33929,114,E,I,TIPO7,HÍBRIDO,M,Mid-High,117,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,7998.92,4594.7
SYN000023,25/03/2024,PA200081,104824,23689,No Particular,Financiera Marca,"SI, Financiera",NO,0,24/03/2028,31/12/2023,SI,1405,M,CP22300,57,25604,165,H,H,TIPO7,HÍBRIDO,M,Mid,106,0,0,0,,0,0,MALAGA,MALAGA,SUR,Tienda,7860.01,590.72
SYN000024,09/02/2024,PA200015,105114,28453,Particular,Contado,NO,NO,0,08/02/2028,31/12/2023,SI,1034,F,CP50008,65,33868,15,A,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,,1,1,MADRID NORTE,MADRID,CENTRO,Internet,9665.48,6133.7
SYN000025,20/01/2024,PA200003,104382,33863,Particular,Contado,SI,NO,0,19/01/2028,31/12/2023,SI,994,M,CP14005,26,34078,123,D,I,TIPO7,ELÉCTRICO,A,Mid,106,0,0,0,,0,0,BARCELONA SUR,BARCELONA,ESTE,Tienda,11503.26,7584.08
SYN000026,09/02/2024,PA200013,106901,17113,Particular,Contado,SI,NO,0,08/02/2028,31/12/2023,SI,947,M,CP29011,31,27320,116,C,B,TIPO1,HÍBRIDO,M,Low,74,0,0,0,,0,0,BARCELONA SUR,BARCELONA,ESTE,Internet,4461.36,1912.43
SYN000027,24/02/2024,PA200084,103859,13494,Particular,Contado,NO,NO,0,23/02/2028,31/12/2023,SI,0,M,CP46688,34,25094,96,H,A,TIPO1,HÍBRIDO,M,Mid-High,48,0,0,0,,0,0,SEVILLA,SEVILLA,SUR,Internet,2984.87,1668.85
SYN000028,22/03/2024,PA200021,100074,29446,Particular,Financiera Marca,NO,NO,4,21/03/2028,31/12/2023,SI,1399,F,CP2695,45,22146,99,K,I,TIPO7,ELÉCTRICO,A,High,106,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Internet,10002.81,6027.57
SYN000029,15/02/2024,PA200095,108095,19342,Particular,Prestamo Bancario,NO,SI,0,14/02/2028,31/12/2023,SI,1526,M,CP43830,29,0,0,,B,TIPO1,HÍBRIDO,M,Mid,81,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,5042.46,1738.44
SYN000030,24/02/2024,PA200017,107836,36634,Particular,Financiera Marca,NO,NO,4,23/02/2028,31/12/2023,SI,1399,M,CP15702,35,0,0,,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,12444.57,7901.48
SYN000031,20/03/2024,PA200047,96300,20066,Particular,Otros,NO,NO,0,19/03/2028,31/12/2023,SI,2470,F,CP19160,40,32019,97,C,B,TIPO1,HÍBRIDO,M,Low,101,0,0,0,,0,0,MADRID SUR,MADRID,CENTRO,Tienda,5231.21,925.99
SYN000032,30/03/2024,PA200077,100927,27379,Particular,Financiera Marca,"SI, Financiera",NO,0,29/03/2028,31/12/2023,SI,1521,M,CP8030,56,25597,92,B,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,,0,0,BARCELONA NORTE,BARCELONA,ESTE,Tienda,9300.65,5366.71
SYN000033,24/02/2024,PA200005,100141,20671,Particular,Contado,NO,NO,0,23/02/2028,31/12/2023,SI,716,M,CP8140,47,0,0,,H,TIPO7,HÍBRIDO,M,Mid,85,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,6858.64,993.61
SYN000034,05/01/2024,PA200079,104364,22940,Particular,Financiera Marca,"SI, Financiera",NO,0,04/01/2028,31/12/2023,SI,1876,M,CP46176,59,21711,116,H,B,TIPO1,HÍBRIDO,M,Mid-High,106,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,5980.46,2042.2
SYN000035,29/01/2024,PA200036,105450,23321,No Particular,Financiera Marca,"SI, Financiera",NO,0,28/01/2028,31/12/2023,SI,2053,M,CP28905,36,0,0,,B,TIPO1,HÍBRIDO,M,Mid-High,106,0,0,0,,1,1,BARCELONA NORTE,BARCELONA,ESTE,Internet,6079.78,1934.43
SYN000036,17/01/2024,PA200026,69278,17305,Particular,Prestamo Bancario,NO,SI,0,16/01/2028,31/12/2023,SI,1909,M,CP46970,58,25862,117,G,B,TIPO1,HÍBRIDO,M,Mid,74,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,4511.41,985.32
SYN000037,27/03/2024,PA200013,106226,22518,Particular,Contado,NO,NO,0,26/03/2028,31/12/2023,SI,915,M,CP33424,33,0,41,G,B,TIPO1,HÍBRIDO,M,Mid,117,0,0,0,,0,0,SEVILLA,SEVILLA,SUR,Internet,5870.44,2926.52
SYN000038,20/03/2024,PA200042,102207,18719,No Particular,Contado,NO,NO,0,19/03/2028,31/12/2023,SI,1936,M,CP8303,53,27105,13,G,B,TIPO1,HÍBRIDO,M,Low,78,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Internet,4880.04,1215.24
SYN000039,06/01/2024,PA200042,106634,30182,Particular,Financiera Marca,"SI, Financiera",NO,0,05/01/2028,31/12/2023,SI,1584,M,CP28017,47,33127,121,E,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,,0,0,MADRID SUR,MADRID,CENTRO,Tienda,10252.83,6034.45
SYN000040,01/02/2024,PA200087,101942,17305,Particular,Contado,SI,NO,0,31/01/2028,31/12/2023,SI,1909,M,CP8032,48,27880,96,B,B,TIPO1,HÍBRIDO,M,Mid,74,0,0,0,,0,0,BILBAO,BILBAO,NORTE,Internet,4511.41,985.32
SYN000041,16/03/2024,PA200089,108450,25147,No Particular,Financiera Marca,"SI, Financiera",NO,4,15/03/2028,31/12/2023,SI,994,M,CP29100,60,0,32,F,I,TIPO7,HÍBRIDO,M,High,117,0,0,0,,0,0,BILBAO,BILBAO,NORTE,Internet,8542.44,5311.82
SYN000042,22/01/2024,PA200006,56627,29446,Particular,Financiera Marca,"SI, Financiera",NO,4,21/01/2028,31/12/2023,SI,994,M,CP46900,32,36691,131,A,I,TIPO7,ELÉCTRICO,A,High,106,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,10002.81,6432.57
SYN000043,19/03/2024,PA200023,40268,14099,Particular,Contado,SI,NO,0,18/03/2028,31/12/2023,SI,916,F,CP28007,44,33423,151,D,A,TIPO1,HÍBRIDO,M,Mid,59,0,0,0,,0,0,MALAGA,MALAGA,SUR,Tienda,3118.7,838.88
SYN000044,23/03/2024,PA200057,108378,28667,Particular,Contado,NO,NO,0,22/03/2028,31/12/2023,SI,1034,M,CP26006,39,30049,17,D,I,TIPO7,HÍBRIDO,M,High,106,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Internet,9738.18,6189.49
SYN000045,30/01/2024,PA200032,108255,23542,Particular,Contado,SI,NO,0,29/01/2028,31/12/2023,SI,1400,M,CP11300,38,23371,63,E,C,TIPO4,HÍBRIDO,M,Mid,101,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,6137.4,-1092.05
SYN000046,10/01/2024,PA200064,105329,22465,Particular,Financiera Marca,"SI, Financiera",NO,0,09/01/2028,31/12/2023,SI,1421,M,CP28490,42,32336,1,C,B,TIPO6,HÍBRIDO,M,Mid,85,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,5856.63,2410.89
SYN000047,29/01/2024,PA200088,100745,24004,Particular,Contado,NO,NO,0,28/01/2028,31/12/2023,SI,0,M,CP8950,52,26519,18,E,D,TIPO6,HÍBRIDO,M,Low,99,0,0,0,,0,0,BILBAO,BILBAO,NORTE,Tienda,6257.84,318.89
SYN000048,10/02/2024,PA200015,101484,17524,Particular,Financiera Marca,"SI, Financiera",NO,0,09/02/2028,31/12/2023,SI,1757,M,CP3430,47,25046,78,D,A,TIPO1,HÍBRIDO,M,Mid,64,0,0,0,,0,0,VALENCIA,VALENCIA,ESTE,Tienda,3876.31,484.91
SYN000049,17/02/2024,PA200069,106040,26624,No Particular,Financiera Marca,"SI, Financiera",NO,0,16/02/2028,31/12/2023,SI,1821,M,CP8820,36,25051,112,E,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,,1,1,LA CORUÑA,LA CORUÑA,NORTE,Internet,9044.17,4869.88
SYN000050,07/02/2024,PA200068,107591,20089,Particular,Financiera Marca,"SI, Financiera",NO,0,06/02/2028,31/12/2023,SI,1339,M,CP28700,41,37716,9,D,B,TIPO6,HÍBRIDO,M,Mid-High,85,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,5237.2,2061.17
SYN000051,19/01/2024,PA200100,103223,19731,Particular,Financiera Marca,NO,NO,0,18/01/2028,31/12/2023,SI,812,F,CP36419,29,21343,0,U,B,TIPO1,HÍBRIDO,M,Mid-High,77,0,0,0,,1,1,BARCELONA CENTRO,BARCELONA,ESTE,Internet,5143.87,2523.12
SYN000052,02/03/2024,PA200096,103722,23439,Particular,Contado,NO,NO,0,01/03/2028,31/12/2023,SI,1364,M,CP28031,48,28470,114,E,B,TIPO1,HÍBRIDO,M,Mid-High,106,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Internet,6110.55,2644.87
SYN000053,22/02/2024,PA200029,101201,35404,Particular,Financiera Marca,"SI, Financiera",NO,0,21/02/2028,31/12/2023,SI,1482,M,CP48003,52,29207,13,C,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,,0,0,VALENCIA,VALENCIA,ESTE,Tienda,12026.74,7497.82
SYN000054,28/01/2024,PA200094,104758,24579,Particular,Prestamo Bancario,NO,NO,0,27/01/2028,31/12/2023,SI,2091,M,CP46017,52,29104,1,D,D,TIPO6,HÍBRIDO,M,Low,89,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,6407.75,-1758.48
SYN000055,07/02/2024,PA200012,107250,17512,Particular,Contado,NO,NO,0,06/02/2028,31/12/2023,SI,746,M,CP44003,49,23584,76,H,B,TIPO1,HÍBRIDO,M,Mid-High,74,0,0,0,,1,1,MALAGA,MALAGA,SUR,Internet,4565.38,2185.93
SYN000056,27/01/2024,PA200079,101451,24004,Particular,Contado,NO,NO,0,26/01/2028,31/12/2023,SI,1211,F,CP17003,54,37188,116,A,D,TIPO6,HÍBRIDO,M,Low,99,0,0,0,,0,0,BARCELONA SUR,BARCELONA,ESTE,Tienda,6257.84,-892.11
SYN000057,10/03/2024,PA200093,91382,18299,Particular,Prestamo Bancario,NO,NO,0,09/03/2028,31/12/2023,SI,2111,F,CP28230,42,37059,118,A,B,TIPO1,HÍBRIDO,M,High,74,0,0,0,,0,0,SEVILLA,SEVILLA,SUR,Tienda,4770.55,963.93
SYN000058,05/02/2024,PA200013,102026,27160,Particular,Contado,SI,NO,0,04/02/2028,31/12/2023,SI,1392,M,CP28320,71,28575,0,A,D,TIPO6,HÍBRIDO,M,High,103,0,0,0,,1,1,MADRID ESTE,MADRID,CENTRO,Internet,7080.61,-998.31
SYN000059,25/01/2024,PA200060,103600,33856,Particular,Contado,SI,NO,0,24/01/2028,31/12/2023,SI,956,M,CP28051,40,28852,9,D,I,TIPO7,ELÉCTRICO,A,Mid,136,0,0,0,,0,0,BARCELONA NORTE,BARCELONA,ESTE,Internet,11500.88,7620.26
SYN000060,04/03/2024,PA200049,104413,30377,Particular,Financiera Marca,NO,NO,4,03/03/2028,31/12/2023,SI,2668,M,CP28230,46,0,0,,D,TIPO6,HÍBRIDO,M,High,106,0,0,0,,1,1,BARCELONA SUR,BARCELONA,ESTE,Internet,7919.28,-2198.07
SYN000061,02/03/2024,PA200087,105642,21610,Particular,Financiera Marca,"SI, Financiera",NO,0,01/03/2028,31/12/2023,SI,1174,F,CP38006,38,27791,85,C,B,TIPO1,HÍBRIDO,M,Mid,85,0,0,0,,0,0,BILBAO,BILBAO,NORTE,Internet,5633.73,2502.54
SYN000062,11/01/2024,PA200076,106648,30330,Particular,Contado,NO,NO,0,10/01/2028,31/12/2023,SI,1034,M,CP28860,48,37484,19,A,I,TIPO7,HÍBRIDO,M,Mid,106,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,10303.1,6623.03
SYN000063,26/01/2024,PA200048,106910,11004,Particular,Financiera Marca,NO,NO,0,25/01/2028,31/12/2023,SI,222,F,CP8226,23,27132,16,G,A,TIPO1,HÍBRIDO,M,Low,53,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,2434.08,1092.77
SYN000064,29/01/2024,PA200041,79306,25953,Particular,Otros,NO,SI,0,28/01/2028,31/12/2023,SI,620,M,CP15660,54,27683,123,D,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,8816.23,5895.95
SYN000065,07/03/2024,PA200087,10627,30246,Particular,Contado,NO,NO,0,06/03/2028,31/12/2023,SI,395,F,CP3110,50,37746,0,,J,TIPO7,HÍBRIDO,M,Mid-High,123,0,0,0,,0,0,VALENCIA,VALENCIA,ESTE,Tienda,1194.72,-6618.58
SYN000066,24/03/2024,PA200073,103232,28667,Particular,Contado,NO,NO,0,23/03/2028,31/12/2023,SI,1034,F,CP28860,30,37532,213,F,I,TIPO7,HÍBRIDO,M,High,106,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Internet,9738.18,6189.49
SYN000067,09/01/2024,PA200012,107402,15195,Particular,Financiera Marca,"SI, Financiera",NO,0,08/01/2028,31/12/2023,SI,1211,M,CP28880,46,36359,19,A,A,TIPO1,HÍBRIDO,M,High,64,0,0,0,,1,1,BARCELONA SUR,BARCELONA,ESTE,Internet,3361.13,699.73
SYN000068,13/03/2024,PA200066,107842,21553,Particular,Contado,NO,NO,0,12/03/2028,31/12/2023,SI,0,M,CP28902,50,27727,12,B,D,TIPO1,HÍBRIDO,M,Low,104,0,0,0,,1,1,BARCELONA SUR,BARCELONA,ESTE,Internet,5618.87,260.81
SYN000069,28/02/2024,PA200058,102890,19453,Particular,Contado,NO,NO,0,27/02/2028,31/12/2023,SI,1461,M,CP11100,28,27354,22,H,B,TIPO1,HÍBRIDO,M,Mid,77,0,0,0,,0,0,BARCELONA SUR,BARCELONA,ESTE,Internet,5071.4,1823.61
SYN000070,22/03/2024,PA200046,105434,29446,Particular,Contado,SI,NO,0,21/03/2028,31/12/2023,SI,994,M,CP8921,31,27819,13,B,I,TIPO7,ELÉCTRICO,A,High,106,0,0,0,,0,0,SEVILLA,SEVILLA,SUR,Tienda,10002.81,6432.57
SYN000071,15/03/2024,PA200040,101753,33874,Particular,Contado,NO,SI,0,14/03/2028,31/12/2023,SI,0,M,CP28906,48,27436,19,E,K,TIPO7,ELÉCTRICO,A,Mid,193,0,0,0,,0,0,BILBAO,BILBAO,NORTE,Internet,1338.02,-6940.11
SYN000072,22/03/2024,PA200079,83449,18751,Particular,Otros,SI,SI,0,21/03/2028,31/12/2023,SI,746,M,CP36211,27,30484,128,B,B,TIPO6,HÍBRIDO,M,High,74,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Internet,4888.39,2411.06
SYN000073,01/03/2024,PA200014,101208,11004,Particular,Contado,NO,NO,0,29/02/2028,31/12/2023,SI,278,M,CP20130,50,29371,13,G,A,TIPO1,HÍBRIDO,M,Low,53,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,2434.08,1036.77
SYN000074,11/02/2024,PA200038,103503,28405,Particular,Contado,SI,NO,0,10/02/2028,31/12/2023,SI,1034,F,CP28028,78,32986,175,A,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,9649.18,6121.18
SYN000075,16/02/2024,PA200010,100896,33675,Particular,Contado,NO,NO,0,15/02/2028,31/12/2023,SI,0,M,CP28033,40,32322,124,E,J,TIPO7,HÍBRIDO,M,Mid,123,0,0,0,,0,0,BILBAO,BILBAO,NORTE,Internet,1330.16,-6900.81
SYN000076,19/02/2024,PA200031,100184,24004,Particular,Otros,NO,NO,0,18/02/2028,31/12/2023,SI,332,F,CP8107,38,24962,12,H,D,TIPO1,HÍBRIDO,M,Low,99,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,6257.84,-13.11
SYN000077,16/01/2024,PA200095,107407,33250,No Particular,Otros,NO,NO,4,15/01/2028,31/12/2023,SI,994,M,CP20249,26,0,0,,I,TIPO7,ELÉCTRICO,A,Mid,113,0,0,0,,0,0,VALENCIA,VALENCIA,ESTE,Internet,11295.02,7424.27
SYN000078,05/03/2024,PA200070,29676,24274,Particular,Financiera Marca,"SI, Financiera",NO,0,04/03/2028,31/12/2023,SI,1482,F,CP25001,32,24428,81,E,I,TIPO7,HÍBRIDO,M,Mid-High,117,0,0,0,,0,0,VALENCIA,VALENCIA,ESTE,Tienda,8245.88,4596.23
SYN000079,29/02/2024,PA200079,103475,13529,Particular,Financiera Marca,NO,NO,0,28/02/2028,31/12/2023,SI,278,M,CP21007,38,23522,66,H,A,TIPO1,HÍBRIDO,M,Mid-High,61,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,2992.61,1395.82
SYN000080,07/03/2024,PA200010,105881,19614,Particular,Financiera Marca,NO,NO,4,06/03/2028,31/12/2023,SI,1762,M,CP50009,25,0,0,,B,TIPO1,HÍBRIDO,M,Mid-High,85,0,0,0,,1,1,MADRID NORTE,MADRID,CENTRO,Internet,5113.37,1551.86
SYN000081,09/02/2024,PA200034,102147,13094,Particular,Contado,NO,NO,0,08/02/2028,31/12/2023,SI,747,F,CP8020,29,30857,26,B,A,TIPO1,HÍBRIDO,M,Mid-High,61,0,0,0,,0,0,LA CORUÑA,LA CORUÑA,NORTE,Internet,2896.39,864.97
SYN000082,12/02/2024,PA200023,104175,19455,Particular,Contado,SI,NO,0,11/02/2028,31/12/2023,SI,3034,F,CP4007,54,30337,137,E,B,TIPO1,HÍBRIDO,M,Mid,77,0,0,0,,0,0,MADRID SUR,MADRID,CENTRO,Tienda,5071.92,250.97
SYN000083,28/03/2024,PA200085,102542,21531,Particular,Contado,NO,NO,0,27/03/2028,31/12/2023,SI,829,M,CP45004,49,35354,113,E,B,TIPO1,HÍBRIDO,M,Mid,106,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,5613.13,2833.18
SYN000084,19/03/2024,PA200054,101286,19234,No Particular,Otros,"SI, Financiera",NO,0,18/03/2028,31/12/2023,SI,1251,F,CP6420,50,22123,89,K,B,TIPO1,HÍBRIDO,M,Mid-High,71,0,0,0,,1,1,BARCELONA NORTE,BARCELONA,ESTE,Internet,5014.3,1993.82
SYN000085,22/03/2024,PA200014,103583,19453,Particular,Otros,NO,NO,0,21/03/2028,31/12/2023,SI,931,M,CP30820,32,24190,8,H,B,TIPO1,HÍBRIDO,M,Mid,77,0,0,0,,0,0,MADRID SUR,MADRID,CENTRO,Tienda,5071.4,2353.61
SYN000086,18/02/2024,PA200060,106208,21403,Particular,Financiera Marca,"SI, Financiera",NO,4,17/02/2028,31/12/2023,SI,716,M,CP46024,38,25056,116,E,H,TIPO7,HÍBRIDO,M,Mid,85,0,0,0,,0,0,BARCELONA SUR,BARCELONA,ESTE,Internet,7101.52,1063.0
SYN000087,19/02/2024,PA200084,102634,20621,Particular,Contado,NO,SI,0,18/02/2028,31/12/2023,SI,783,M,CP28529,53,33217,168,D,C,TIPO4,HÍBRIDO,M,Mid-High,81,0,0,0,,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Internet,5375.89,-544.28
