CODE,Id_Producto,Modelo,TIPO_CARROCERIA,Fuel,TRANSMISION_ID,Equipamiento,Kw,EXTENSION_GARANTIA,EN_GARANTIA,MANTENIMIENTO_GRATUITO
ID26432,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26434,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26436,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26476,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26478,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26485,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26506,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26519,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26548,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26551,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26553,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26365,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26367,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26376,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26378,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26383,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26385,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID26387,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26389,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26390,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,NO,0
ID26392,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26404,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26406,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26411,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID26415,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,NO,0
ID26419,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26428,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26442,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26550,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26569,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25507,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25512,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25514,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25516,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25518,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25525,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25527,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25529,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25532,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25538,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25545,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25550,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25554,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID25558,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25561,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25565,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25567,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID25572,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25574,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25581,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25585,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25600,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25606,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25613,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25617,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25633,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25637,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26483,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26520,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26555,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26579,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26580,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26582,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,NO,0
ID26586,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26588,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26591,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26593,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26599,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26603,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26605,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26607,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25508,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25511,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25515,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,NO,0
ID25517,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25519,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25520,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25522,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25526,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25528,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,NO,0
ID25533,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID25535,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID25537,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25542,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25555,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25566,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25568,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25571,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25575,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25580,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25591,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25597,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25623,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26424,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26466,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID26468,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26477,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID26497,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26514,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26554,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26558,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26561,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26567,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26570,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26572,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26576,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26578,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26581,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26583,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26585,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26589,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26590,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26594,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26596,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26598,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26606,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22538,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22541,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25677,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25679,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25680,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25684,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25686,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID25688,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25710,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25729,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25663,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25665,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25667,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25669,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25683,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25692,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25715,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID25728,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25740,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25770,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25785,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25806,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25828,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25731,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID25818,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25832,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID25852,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID21767,PA100012,A,TIPO1,HÍBRIDO,M,Low,48,NO,SI,0
ID21926,PA100012,A,TIPO1,HÍBRIDO,M,Low,48,NO,NO,0
ID22098,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22106,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22120,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22126,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22137,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22140,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID22144,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID22148,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22157,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,NO,0
ID22159,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22168,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID22245,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22272,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22362,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID22105,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID22109,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,NO,0
ID22127,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID22136,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22141,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22143,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID22147,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22149,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22158,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID22167,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID22196,PA100010,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID26780,PA100025,A,TIPO1,HÍBRIDO,M,Mid,53,NO,SI,0
ID26789,PA100025,A,TIPO1,HÍBRIDO,M,Mid,53,SI,NO,0
ID27056,PA100025,A,TIPO1,HÍBRIDO,M,Mid,53,NO,SI,0
ID23284,PA100044,A,TIPO1,HÍBRIDO,M,Low,48,NO,NO,0
ID23166,PA100044,A,TIPO1,HÍBRIDO,M,Low,48,NO,NO,0
ID23193,PA100044,A,TIPO1,HÍBRIDO,M,Low,48,NO,NO,0
ID23197,PA100044,A,TIPO1,HÍBRIDO,M,Low,48,NO,SI,0
ID23308,PA100044,A,TIPO1,HÍBRIDO,M,Low,48,NO,SI,0
ID24993,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25011,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25019,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25020,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25031,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25037,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25039,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25053,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25057,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25062,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25073,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25080,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25082,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25091,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,NO,0
ID25095,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25097,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25101,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25107,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25114,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID25118,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25121,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25125,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25127,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25138,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID25147,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25163,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,NO,0
ID25169,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID25170,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25176,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25189,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25194,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID25198,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25208,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25213,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25231,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25233,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25275,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25352,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25389,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25459,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID24990,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID24992,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID24996,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25009,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25038,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25061,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25067,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID25069,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25072,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25074,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25081,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25085,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25092,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25102,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25106,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25108,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25115,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25135,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25142,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25148,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25151,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25164,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25180,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25201,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25203,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25209,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25229,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25232,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25247,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25250,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25265,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25267,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID25294,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25308,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID25373,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID25379,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID27021,PA100028,A,TIPO1,HÍBRIDO,M,Mid-High,53,NO,SI,0
ID23315,PA100044,A,TIPO1,HÍBRIDO,M,Low,48,NO,SI,0
ID23429,PA100044,A,TIPO1,HÍBRIDO,M,Low,48,NO,NO,0
ID24272,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24274,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID24283,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24289,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24290,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24296,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24304,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24308,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24311,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID24313,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24326,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24328,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID24339,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24344,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24346,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,NO,0
ID24355,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24362,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID24364,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID24407,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24447,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24456,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24487,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
ID24492,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,SI,SI,0
ID24513,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,NO,0
ID24991,PA100033,A,TIPO1,HÍBRIDO,M,Mid-High,61,NO,SI,0
