CODE,Customer_ID,Revisiones,Km_medio_por_revision,km_ultima_revision,DAYS_LAST_SERVICE,QUEJA,Churn_400,Churn_bin,FLAG_SIN_REVISION
ID26389,55006,0,0,0,,,N,0,1
ID26390,77671,0,0,0,,,N,0,1
ID26392,81865,2,38615,77230,26.0,NO,N,0,0
ID26404,80489,0,0,0,,,N,0,1
ID26406,33068,0,0,0,,,N,0,1
ID26411,14024,3,48311,144933,41.0,,N,0,0
ID26415,77298,1,49886,49886,1464.0,,N,0,0
ID26419,77790,0,0,0,,SI,N,0,1
ID26428,50626,1,20015,20015,889.0,,Y,1,0
ID26442,77709,0,0,0,,NO,N,0,1
ID26550,16102,0,0,0,,,N,0,1
ID26569,75555,0,0,0,,,N,0,1
ID25507,43521,1,40305,40305,1284.0,SI,N,0,0
ID25512,75129,0,0,0,,,N,0,1
ID25514,41357,1,50403,50403,632.0,,Y,1,0
ID25516,4661,0,0,0,,,N,0,1
ID25518,97003,0,0,0,,,N,0,1
ID25525,69154,0,0,0,,,N,0,1
ID25527,38681,1,21293,21293,690.0,,Y,1,0
ID25529,5142,1,34691,34691,1180.0,,N,0,0
ID25532,25182,1,23612,23612,1425.0,,N,0,0
ID25538,43188,1,45118,45118,4.0,SI,N,0,0
ID25545,71021,0,0,0,,,N,0,1
ID25550,90556,0,0,0,,,N,0,1
ID25554,28703,2,23937,47874,250.0,,N,0,0
ID25558,18378,0,0,0,,,N,0,1
ID25561,50836,1,16912,16912,527.0,NO,Y,1,0
ID25565,34500,2,18741,37482,629.0,,Y,1,0
ID25567,54262,0,0,0,,,N,0,1
ID25572,76818,2,54690,109380,62.0,,N,0,0
ID25574,20377,2,20423,40846,116.0,NO,N,0,0
ID25581,58952,0,0,0,,,N,0,1
ID25585,72500,0,0,0,,,N,0,1
ID25600,9332,1,25389,25389,1255.0,,N,0,0
ID25606,44668,0,0,0,,,N,0,1
ID25613,35959,1,23652,23652,824.0,,Y,1,0
ID25617,27726,0,0,0,,,N,0,1
ID25633,70439,0,0,0,,,N,0,1
ID25637,66673,1,29813,29813,531.0,SI,Y,1,0
ID26483,31304,0,0,0,,,N,0,1
ID26520,39944,0,0,0,,NO,N,0,1
ID26555,29565,0,0,0,,,N,0,1
ID26579,40588,0,0,0,,,N,0,1
ID26580,29807,0,0,0,,,N,0,1
ID26582,55285,1,20660,20660,1255.0,,N,0,0
ID26586,61884,0,0,0,,,N,0,1
ID26588,89137,1,22613,22613,373.0,,N,0,0
ID26591,2162,0,0,0,,,N,0,1
ID26593,12375,0,0,0,,,N,0,1
ID26599,69631,0,0,0,,,N,0,1
ID26603,42680,0,0,0,,,N,0,1
ID26605,57725,0,0,0,,,N,0,1
ID26607,69053,0,0,0,,SI,N,0,1
ID25508,32896,0,0,0,,,N,0,1
ID25511,35063,2,46214,92428,114.0,,N,0,0
ID25515,63955,2,51668,103336,665.0,,Y,1,0
ID25517,79371,0,0,0,,,N,0,1
ID25519,93841,1,45561,45561,824.0,,Y,1,0
ID25520,41656,1,30546,30546,878.0,,Y,1,0
ID25522,92892,0,0,0,,,N,0,1
ID25526,94078,3,48041,144123,479.0,,Y,1,0
ID25528,73257,1,19810,19810,1187.0,,N,0,0
ID25533,43857,0,0,0,,,N,0,1
ID25535,24728,0,0,0,,,N,0,1
ID25537,20910,1,43155,43155,936.0,,Y,1,0
ID25542,87042,1,31724,31724,463.0,,Y,1,0
ID25555,29121,0,0,0,,,N,0,1
ID25566,48573,1,30275,30275,675.0,,Y,1,0
ID25568,31620,1,41876,41876,842.0,,Y,1,0
ID25571,70446,1,18863,18863,95.0,NO,N,0,0
ID25575,26758,1,20223,20223,1525.0,,N,0,0
ID25580,54048,0,0,0,,,N,0,1
ID25591,2352,0,0,0,,,N,0,1
ID25597,12773,1,42364,42364,147.0,,N,0,0
ID25623,19607,3,32805,98415,9.0,,N,0,0
ID26424,54747,4,15275,61100,25.0,,N,0,0
ID26466,38009,0,0,0,,,N,0,1
ID26468,71341,0,0,0,,SI,N,0,1
ID26477,5032,0,0,0,,,N,0,1
ID26497,66339,1,26447,26447,1058.0,,N,0,0
ID26514,28359,1,32458,32458,45.0,,N,0,0
ID26554,66187,0,0,0,,,N,0,1
ID26558,78680,0,0,0,,,N,0,1
ID26561,93842,1,20204,20204,1326.0,,N,0,0
ID26567,75304,0,0,0,,,N,0,1
ID26570,71197,0,0,0,,,N,0,1
ID26572,10524,3,28012,84036,381.0,,N,0,0
ID26576,30303,0,0,0,,,N,0,1
ID26578,184,0,0,0,,,N,0,1
ID26581,22187,0,0,0,,,N,0,1
ID26583,87341,1,15433,15433,323.0,,N,0,0
ID26585,57789,1,39234,39234,297.0,NO,N,0,0
ID26589,20181,1,40018,40018,518.0,,Y,1,0
ID26590,29941,0,0,0,,,N,0,1
ID26594,65952,1,20852,20852,1111.0,,N,0,0
ID26596,13153,0,0,0,,,N,0,1
ID26598,92538,1,17744,17744,1111.0,,N,0,0
ID26606,34016,0,0,0,,,N,0,1
ID22538,39692,1,33764,33764,669.0,,Y,1,0
ID22541,10604,2,49127,98254,637.0,,Y,1,0
ID25677,66438,1,34680,34680,697.0,,Y,1,0
ID25679,89986,1,19817,19817,622.0,NO,Y,1,0
ID25680,79795,0,0,0,,,N,0,1
ID25684,98384,2,46880,93760,525.0,NO,Y,1,0
ID25686,60217,1,51248,51248,208.0,,N,0,0
ID25688,97109,0,0,0,,,N,0,1
ID25710,11875,1,23107,23107,71.0,,N,0,0
ID25729,24327,1,39615,39615,1008.0,,N,0,0
ID25663,34398,1,19610,19610,431.0,NO,Y,1,0
ID25665,3524,0,0,0,,,N,0,1
ID25667,76159,2,49288,98576,242.0,,N,0,0
ID25669,50623,0,0,0,,,N,0,1
ID25683,44004,1,21365,21365,445.0,,Y,1,0
ID25692,68124,0,0,0,,SI,N,0,1
ID25715,46171,0,0,0,,,N,0,1
ID25728,29594,1,45280,45280,1307.0,,N,0,0
ID25740,47333,0,0,0,,,N,0,1
ID25770,43073,0,0,0,,,N,0,1
ID25785,50993,0,0,0,,,N,0,1
ID25806,70123,0,0,0,,,N,0,1
ID25828,40104,0,0,0,,,N,0,1
ID25731,92731,0,0,0,,,N,0,1
ID25818,89651,0,0,0,,,N,0,1
ID25832,24906,0,0,0,,,N,0,1
ID25852,92488,1,39889,39889,942.0,,Y,1,0
ID21767,6380,2,37728,75456,194.0,NO,N,0,0
ID21926,77349,2,19767,39534,655.0,,Y,1,0
ID22098,17858,0,0,0,,,N,0,1
ID22106,61937,2,46477,92954,409.0,,Y,1,0
ID22120,14985,0,0,0,,,N,0,1
ID22126,46897,0,0,0,,,N,0,1
ID22137,39665,1,46950,46950,131.0,,N,0,0
ID22140,34613,4,39371,157484,337.0,SI,N,0,0
ID22144,28732,2,20797,41594,1072.0,,N,0,0
ID22148,3842,0,0,0,,,N,0,1
ID22157,68606,2,40990,81980,644.0,,Y,1,0
ID22159,84309,0,0,0,,,N,0,1
ID22168,95466,0,0,0,,,N,0,1
ID22245,83065,0,0,0,,,N,0,1
ID22272,4576,1,41260,41260,647.0,,Y,1,0
ID22362,5424,1,53340,53340,1124.0,,N,0,0
ID22105,19446,1,36593,36593,789.0,,Y,1,0
ID22109,54879,0,0,0,,,N,0,1
ID22127,39882,1,51238,51238,456.0,,Y,1,0
ID22136,23211,0,0,0,,,N,0,1
ID22141,10187,2,44146,88292,255.0,,N,0,0
ID22143,23374,3,47637,142911,350.0,,N,0,0
ID22147,70040,0,0,0,,,N,0,1
ID22149,83550,0,0,0,,,N,0,1
ID22158,26422,0,0,0,,,N,0,1
ID22167,55348,0,0,0,,,N,0,1
ID22196,24248,0,0,0,,,N,0,1
ID26780,5298,0,0,0,,,N,0,1
ID26789,23694,2,31920,63840,1065.0,,N,0,0
ID27056,55993,0,0,0,,,N,0,1
ID23284,79674,1,54452,54452,1506.0,,N,0,0
ID23166,71920,4,25812,103248,106.0,,N,0,0
ID23193,6036,2,32739,65478,226.0,SI,N,0,0
ID23197,21040,0,0,0,,,N,0,1
ID23308,4584,0,0,0,,NO,N,0,1
ID24993,76657,0,0,0,,,N,0,1
ID25011,37332,1,49385,49385,1327.0,,N,0,0
ID25019,96137,0,0,0,,,N,0,1
ID25020,53722,1,51906,51906,508.0,NO,Y,1,0
ID25031,36220,1,48252,48252,1377.0,,N,0,0
ID25037,8335,1,45814,45814,1482.0,,N,0,0
ID25039,77705,0,0,0,,NO,N,0,1
ID25053,62401,0,0,0,,NO,N,0,1
ID25057,44988,1,24609,24609,463.0,NO,Y,1,0
ID25062,41505,0,0,0,,,N,0,1
ID25073,75470,3,51298,153894,391.0,,N,0,0
ID25080,87726,0,0,0,,,N,0,1
ID25082,36089,2,28218,56436,1087.0,,N,0,0
ID25091,97144,1,53786,53786,976.0,,Y,1,0
ID25095,95009,0,0,0,,,N,0,1
ID25097,32443,2,48375,96750,473.0,,Y,1,0
ID25101,24875,1,36890,36890,748.0,NO,Y,1,0
ID25107,74811,0,0,0,,,N,0,1
ID25114,71593,1,53294,53294,22.0,NO,N,0,0
ID25118,66933,3,26344,79032,81.0,,N,0,0
ID25121,36870,0,0,0,,NO,N,0,1
ID25125,6310,1,16251,16251,13.0,NO,N,0,0
ID25127,61214,0,0,0,,,N,0,1
ID25138,73510,1,48760,48760,263.0,NO,N,0,0
ID25147,58159,1,41394,41394,208.0,NO,N,0,0
ID25163,2404,0,0,0,,,N,0,1
ID25169,63077,2,16481,32962,33.0,NO,N,0,0
ID25170,73784,1,44412,44412,74.0,NO,N,0,0
ID25176,77451,0,0,0,,NO,N,0,1
ID25189,1256,0,0,0,,,N,0,1
ID25194,74209,0,0,0,,,N,0,1
ID25198,12057,0,0,0,,NO,N,0,1
ID25208,62987,2,46076,92152,3.0,NO,N,0,0
ID25213,66589,0,0,0,,,N,0,1
ID25231,9006,0,0,0,,,N,0,1
ID25233,13999,0,0,0,,NO,N,0,1
ID25275,55483,1,39221,39221,9.0,NO,N,0,0
ID25352,61565,0,0,0,,SI,N,0,1
ID25389,41188,2,44676,89352,929.0,,Y,1,0
ID25459,28801,1,18793,18793,1132.0,,N,0,0
ID24990,3167,0,0,0,,,N,0,1
ID24992,51034,0,0,0,,NO,N,0,1
ID24996,48564,0,0,0,,,N,0,1
ID25009,62189,1,39397,39397,214.0,NO,N,0,0
ID25038,59263,1,19943,19943,581.0,NO,Y,1,0
ID25061,43561,2,51734,103468,65.0,NO,N,0,0
ID25067,50910,1,17964,17964,476.0,NO,Y,1,0
ID25069,77150,0,0,0,,NO,N,0,1
ID25072,50664,1,22231,22231,154.0,NO,N,0,0
ID25074,94239,0,0,0,,,N,0,1
ID25081,10420,2,15229,30458,744.0,,Y,1,0
ID25085,99033,0,0,0,,NO,N,0,1
ID25092,6439,0,0,0,,NO,N,0,1
ID25102,35145,0,0,0,,NO,N,0,1
ID25106,59924,1,37170,37170,41.0,NO,N,0,0
ID25108,45348,1,22416,22416,578.0,NO,Y,1,0
ID25115,67466,0,0,0,,,N,0,1
ID25135,13690,1,20456,20456,499.0,NO,Y,1,0
ID25142,99498,1,42300,42300,32.0,NO,N,0,0
ID25148,20820,0,0,0,,,N,0,1
ID25151,31292,0,0,0,,,N,0,1
ID25164,99559,3,38677,116031,444.0,,Y,1,0
ID25180,83937,0,0,0,,NO,N,0,1
ID25201,95395,1,19453,19453,1174.0,,N,0,0
ID25203,83342,0,0,0,,NO,N,0,1
ID25209,27640,1,38093,38093,180.0,,N,0,0
ID25229,60043,0,0,0,,,N,0,1
ID25232,23033,1,52114,52114,252.0,NO,N,0,0
ID25247,13950,0,0,0,,,N,0,1
ID25250,11478,1,30452,30452,1109.0,,N,0,0
ID25265,344,0,0,0,,NO,N,0,1
ID25267,25004,0,0,0,,NO,N,0,1
ID25294,8977,4,16563,66252,14.0,,N,0,0
ID25308,78845,1,54016,54016,995.0,,Y,1,0
ID25373,52635,0,0,0,,SI,N,0,1
ID25379,16852,0,0,0,,,N,0,1
ID27021,28367,0,0,0,,SI,N,0,1
ID23315,54205,0,0,0,,SI,N,0,1
ID23429,70238,1,50218,50218,444.0,,Y,1,0
ID24272,27861,2,45866,91732,167.0,,N,0,0
ID24274,92237,2,25955,51910,129.0,,N,0,0
ID24283,82843,1,49164,49164,36.0,,N,0,0
ID24289,67059,1,38929,38929,14.0,,N,0,0
ID24290,11502,1,44134,44134,160.0,NO,N,0,0
ID24296,30127,0,0,0,,,N,0,1
ID24304,84257,0,0,0,,,N,0,1
ID24308,77998,1,30364,30364,231.0,,N,0,0
ID24311,42482,2,47642,95284,1083.0,,N,0,0
ID24313,79706,1,54312,54312,684.0,,Y,1,0
ID24326,31182,0,0,0,,,N,0,1
ID24328,14106,1,26534,26534,367.0,,N,0,0
ID24339,61917,0,0,0,,SI,N,0,1
ID24344,25159,0,0,0,,,N,0,1
ID24346,73549,2,20166,40332,743.0,,Y,1,0
ID24355,18185,1,36202,36202,282.0,NO,N,0,0
ID24362,46811,0,0,0,,SI,N,0,1
ID24364,78633,0,0,0,,SI,N,0,1
ID24407,81629,0,0,0,,,N,0,1
ID24447,9481,1,51640,51640,458.0,,Y,1,0
ID24456,82803,0,0,0,,,N,0,1
ID24487,18931,1,46467,46467,171.0,,N,0,0
ID24492,56167,0,0,0,,,N,0,1
ID24513,72547,4,22295,89180,133.0,,N,0,0
ID24991,97620,0,0,0,,,N,0,1
ID25075,93144,3,29834,89502,1067.0,,N,0,0
ID25077,35260,0,0,0,,,N,0,1
ID25099,55081,0,0,0,,,N,0,1
ID25105,31658,1,53954,53954,92.0,NO,N,0,0
ID25110,95007,0,0,0,,,N,0,1
ID25123,99244,1,25093,25093,629.0,NO,Y,1,0
ID25132,46077,1,51086,51086,84.0,NO,N,0,0
ID25248,32585,0,0,0,,NO,N,0,1
ID25257,33683,1,41860,41860,807.0,,Y,1,0
ID25259,85044,3,48556,145668,1087.0,,N,0,0
ID25288,35437,1,51923,51923,771.0,NO,Y,1,0
ID25325,89535,2,51600,103200,352.0,NO,N,0,0
ID25332,52440,5,47542,237710,101.0,,N,0,0
ID25383,35374,2,16010,32020,182.0,NO,N,0,0
ID25433,58993,3,27671,83013,45.0,,N,0,0
ID25460,66666,2,39543,79086,1092.0,,N,0,0
ID25468,67144,1,24115,24115,752.0,NO,Y,1,0
ID25471,36016,1,51265,51265,1255.0,,N,0,0
ID25488,99685,0,0,0,,,N,0,1
ID24277,25463,0,0,0,,,N,0,1
ID24293,13724,0,0,0,,NO,N,0,1
ID24297,96071,0,0,0,,,N,0,1
ID24303,51013,0,0,0,,,N,0,1
ID24312,82272,0,0,0,,,N,0,1
ID24318,6394,1,35876,35876,34.0,,N,0,0
ID24323,74245,2,54535,109070,4.0,NO,N,0,0
ID24325,5938,1,28447,28447,125.0,NO,N,0,0
ID24327,71002,0,0,0,,,N,0,1
ID24336,67021,2,18197,36394,215.0,,N,0,0
ID24338,97191,1,34866,34866,294.0,NO,N,0,0
ID24347,90172,0,0,0,,,N,0,1
ID24352,58267,1,44158,44158,515.0,SI,Y,1,0
ID24356,2326,3,34461,103383,262.0,,N,0,0
ID24363,42047,2,29084,58168,133.0,,N,0,0
ID24365,30075,1,25195,25195,303.0,,N,0,0
ID24381,19587,0,0,0,,,N,0,1
ID24383,63788,1,51492,51492,927.0,NO,Y,1,0
ID24389,67469,0,0,0,,,N,0,1
ID24453,81932,0,0,0,,,N,0,1
ID24455,78515,0,0,0,,NO,N,0,1
ID24457,16715,0,0,0,,,N,0,1
ID24459,59651,0,0,0,,NO,N,0,1
ID24460,23614,1,17672,17672,38.0,,N,0,0
ID24462,68532,0,0,0,,,N,0,1
ID24484,23897,0,0,0,,,N,0,1
ID24538,99460,1,27496,27496,15.0,,N,0,0
ID25012,71285,1,22122,22122,1010.0,,N,0,0
ID25023,18618,0,0,0,,SI,N,0,1
ID25054,77003,0,0,0,,,N,0,1
ID25139,73184,0,0,0,,,N,0,1
ID25230,23927,1,16909,16909,46.0,,N,0,0
ID25300,84604,0,0,0,,,N,0,1
ID25405,46204,0,0,0,,NO,N,0,1
ID25407,25530,0,0,0,,,N,0,1
ID25429,91713,1,21224,21224,589.0,NO,Y,1,0
ID25456,77275,4,21108,84432,184.0,,N,0,0
ID25458,75575,0,0,0,,NO,N,0,1
ID25470,95638,1,30412,30412,1541.0,,N,0,0
ID25478,59917,0,0,0,,,N,0,1
ID25490,192,0,0,0,,,N,0,1
ID22198,58642,0,0,0,,NO,N,0,1
ID1302,13233,0,0,0,,,N,0,1
ID24579,60886,1,25773,25773,1063.0,,N,0,0
ID24580,68783,0,0,0,,,N,0,1
ID24584,89458,3,17199,51597,164.0,,N,0,0
ID24588,88603,2,37078,74156,187.0,,N,0,0
ID24614,97250,1,15617,15617,751.0,,Y,1,0
ID24565,84939,3,19557,58671,34.0,,N,0,0
ID24583,76128,1,30419,30419,483.0,,Y,1,0
ID24587,81910,2,17092,34184,206.0,,N,0,0
ID24615,96456,0,0,0,,,N,0,1
ID26818,69780,1,21176,21176,69.0,NO,N,0,0
ID26825,27052,0,0,0,,,N,0,1
ID26869,19173,1,22349,22349,4.0,,N,0,0
ID26811,51865,2,49618,99236,136.0,,N,0,0
ID22122,62899,1,35861,35861,134.0,,N,0,0
ID22135,13306,0,0,0,,NO,N,0,1
ID22180,20948,0,0,0,,,N,0,1
ID22186,99564,0,0,0,,SI,N,0,1
ID22218,4904,1,31786,31786,28.0,NO,N,0,0
ID22236,41186,0,0,0,,,N,0,1
ID22161,53359,2,54728,109456,534.0,,Y,1,0
ID22181,79132,0,0,0,,,N,0,1
ID22260,11312,1,42995,42995,1176.0,,N,0,0
ID24559,14020,1,35859,35859,31.0,,N,0,0
ID24573,9367,2,52913,105826,930.0,,Y,1,0
ID24605,13874,0,0,0,,,N,0,1
ID24371,15161,1,18200,18200,424.0,,Y,1,0
ID24367,18443,0,0,0,,,N,0,1
ID24372,5510,1,38376,38376,513.0,SI,Y,1,0
ID24394,86698,0,0,0,,,N,0,1
ID24402,968,2,30385,60770,2.0,,N,0,0
ID24451,88878,0,0,0,,,N,0,1
ID24547,28698,0,0,0,,,N,0,1
ID21798,76021,0,0,0,,,N,0,1
ID24984,82236,0,0,0,,NO,N,0,1
ID24986,96790,0,0,0,,,N,0,1
ID24995,24074,3,34500,103500,505.0,,Y,1,0
ID25044,2836,0,0,0,,NO,N,0,1
ID25051,99752,0,0,0,,,N,0,1
ID25079,91959,0,0,0,,,N,0,1
ID25112,62935,2,40697,81394,733.0,,Y,1,0
ID25196,32842,0,0,0,,SI,N,0,1
ID25204,78412,0,0,0,,NO,N,0,1
ID25226,9022,1,29719,29719,985.0,,Y,1,0
ID25228,86853,1,47818,47818,536.0,NO,Y,1,0
ID25260,91760,0,0,0,,,N,0,1
ID25282,92187,0,0,0,,,N,0,1
ID25297,94889,0,0,0,,SI,N,0,1
ID25301,35266,2,28895,57790,952.0,,Y,1,0
ID25370,79082,0,0,0,,NO,N,0,1
ID25440,3992,0,0,0,,,N,0,1
ID25479,10712,1,38593,38593,224.0,NO,N,0,0
ID25010,19393,2,26719,53438,50.0,NO,N,0,0
ID25016,42346,0,0,0,,,N,0,1
ID25027,59804,2,48033,96066,3.0,NO,N,0,0
ID25049,39341,1,30758,30758,116.0,,N,0,0
ID25162,664,2,36081,72162,91.0,NO,N,0,0
ID25186,99812,1,26851,26851,1143.0,,N,0,0
ID25205,22970,0,0,0,,,N,0,1
ID25214,7541,0,0,0,,,N,0,1
ID25225,38621,1,49930,49930,366.0,NO,N,0,0
ID25227,4496,1,44431,44431,949.0,NO,Y,1,0
ID25234,58423,1,41177,41177,1089.0,,N,0,0
ID25263,8277,0,0,0,,,N,0,1
ID25272,90468,0,0,0,,,N,0,1
ID25278,27460,1,35689,35689,1518.0,,N,0,0
ID25283,22468,3,44806,134418,599.0,,Y,1,0
ID25364,59300,0,0,0,,,N,0,1
ID25368,23240,0,0,0,,,N,0,1
ID25393,71390,0,0,0,,NO,N,0,1
ID21953,74565,3,26251,78753,189.0,,N,0,0
ID21955,12517,3,25498,76494,29.0,,N,0,0
ID24335,60083,1,21875,21875,1104.0,,N,0,0
ID24379,94005,0,0,0,,,N,0,1
ID24414,15290,0,0,0,,,N,0,1
ID24436,49824,1,23229,23229,310.0,NO,N,0,0
ID24438,67195,0,0,0,,,N,0,1
ID24540,67544,0,0,0,,,N,0,1
ID24544,18095,2,49512,99024,56.0,,N,0,0
ID25046,18169,1,35633,35633,740.0,NO,Y,1,0
ID25253,33899,0,0,0,,NO,N,0,1
ID25262,7794,1,34238,34238,41.0,NO,N,0,0
ID25307,44621,1,28767,28767,270.0,NO,N,0,0
ID25367,50178,0,0,0,,,N,0,1
ID25428,66802,1,32399,32399,236.0,,N,0,0
ID25442,55182,0,0,0,,,N,0,1
ID25453,29235,1,21348,21348,695.0,NO,Y,1,0
ID25464,35201,2,50275,100550,881.0,,Y,1,0
ID25473,93502,2,38015,76030,84.0,NO,N,0,0
ID25477,69255,0,0,0,,,N,0,1
ID25482,38613,4,43649,174596,56.0,,N,0,0
ID25491,32016,0,0,0,,,N,0,1
ID25499,43684,1,20756,20756,1144.0,,N,0,0
ID24264,55668,1,34874,34874,2.0,,N,0,0
ID24299,80899,0,0,0,,SI,N,0,1
ID24314,98224,0,0,0,,,N,0,1
ID24321,16636,0,0,0,,SI,N,0,1
ID24385,22604,0,0,0,,,N,0,1
ID24387,7281,2,42739,85478,552.0,,Y,1,0
ID24446,6996,0,0,0,,NO,N,0,1
ID25030,13047,0,0,0,,SI,N,0,1
ID25047,33092,0,0,0,,,N,0,1
ID25076,66153,1,50705,50705,73.0,NO,N,0,0
ID25270,57847,2,43315,86630,694.0,,Y,1,0
ID25445,27003,1,52990,52990,1355.0,,N,0,0
ID25463,14888,1,37647,37647,797.0,,Y,1,0
ID25472,88216,0,0,0,,,N,0,1
ID25483,65458,2,54902,109804,96.0,,N,0,0
ID25489,9270,0,0,0,,,N,0,1
ID25494,65874,0,0,0,,,N,0,1
ID25498,55228,0,0,0,,,N,0,1
ID25500,7516,0,0,0,,,N,0,1
ID23165,60862,0,0,0,,,N,0,1
ID23178,20101,0,0,0,,SI,N,0,1
ID23187,76343,2,16121,32242,1016.0,,N,0,0
ID23222,39094,3,44276,132828,509.0,NO,Y,1,0
ID23264,72026,1,20188,20188,1018.0,,N,0,0
ID23279,16919,0,0,0,,,N,0,1
ID23282,60030,1,20659,20659,316.0,SI,N,0,0
ID23291,89309,1,39309,39309,1373.0,,N,0,0
ID23376,56452,3,38818,116454,54.0,,N,0,0
ID23451,26757,0,0,0,,,N,0,1
ID23146,20374,0,0,0,,NO,N,0,1
ID23207,35330,0,0,0,,,N,0,1
ID23212,74027,0,0,0,,SI,N,0,1
ID23214,19466,0,0,0,,,N,0,1
ID23216,73924,1,37408,37408,1124.0,,N,0,0
ID23234,31610,1,50345,50345,455.0,,Y,1,0
ID23326,22724,0,0,0,,,N,0,1
ID23438,11096,0,0,0,,,N,0,1
ID23465,24305,1,44824,44824,510.0,,Y,1,0
ID26609,71587,2,33307,66614,166.0,,N,0,0
ID26631,74334,1,28933,28933,232.0,,N,0,0
ID22293,7096,0,0,0,,,N,0,1
ID23092,75873,0,0,0,,NO,N,0,1
ID23257,3072,1,37041,37041,478.0,NO,Y,1,0
ID23173,30002,0,0,0,,,N,0,1
ID23265,82561,1,49395,49395,138.0,,N,0,0
ID24640,58005,0,0,0,,,N,0,1
ID24421,95303,0,0,0,,,N,0,1
ID26761,9413,0,0,0,,SI,N,0,1
ID26762,65737,1,18663,18663,214.0,,N,0,0
ID26702,20593,1,17580,17580,55.0,,N,0,0
ID21969,49911,0,0,0,,SI,N,0,1
ID21978,42052,0,0,0,,,N,0,1
ID22009,26120,0,0,0,,NO,N,0,1
ID21975,46051,0,0,0,,,N,0,1
ID21979,55010,1,25357,25357,242.0,,N,0,0
ID21993,41019,0,0,0,,,N,0,1
ID1331,57777,2,31643,63286,64.0,NO,N,0,0
ID23886,11701,0,0,0,,,N,0,1
ID23897,96577,0,0,0,,,N,0,1
ID23901,85609,2,50967,101934,30.0,NO,N,0,0
ID23905,12471,0,0,0,,,N,0,1
ID23912,79749,1,29581,29581,1257.0,,N,0,0
ID23916,29840,3,15644,46932,224.0,,N,0,0
ID23921,4587,5,20691,103455,17.0,,N,0,0
ID23927,54218,2,33833,67666,75.0,NO,N,0,0
ID23930,98096,2,22515,45030,819.0,,Y,1,0
ID23932,12107,0,0,0,,,N,0,1
ID23936,73097,1,31526,31526,1086.0,,N,0,0
ID23938,35959,3,40183,120549,648.0,,Y,1,0
ID23941,75321,2,31076,62152,671.0,,Y,1,0
ID23943,37113,1,27421,27421,1117.0,,N,0,0
ID23949,30747,1,23063,23063,446.0,NO,Y,1,0
ID23950,47718,1,34150,34150,700.0,NO,Y,1,0
ID23967,65752,0,0,0,,,N,0,1
