CODE,Sales_Date,Id_Producto,Customer_ID,PVP,MOTIVO_VENTA,FORMA_PAGO,EXTENSION_GARANTIA,SEGURO_BATERIA_LARGO_PLAZO,MANTENIMIENTO_GRATUITO,FIN_GARANTIA,BASE_DATE,EN_GARANTIA,COSTE_VENTA_NO_IMPUESTOS,GENERO,CODIGO_POSTAL,Edad,RENTA_MEDIA_ESTIMADA,ENCUESTA_CLIENTE_ZONA_TALLER,STATUS_SOCIAL,Modelo,TIPO_CARROCERIA,Fuel,TRANSMISION_ID,Equipamiento,Kw,Revisiones,Km_medio_por_revision,km_ultima_revision,QUEJA,Lead_compra,Lead_compra_1,TIENDA_DESC,PROV_DESC,ZONA,Origen,Margen_eur_bruto,Margen_eur,tiene_queja,extension_garantia_bin,en_garantia_bin,Margen_pct,FLAG_Margen_Negativo,antiguedad_dias,ratio_rev_antiguedad,FLAG_cliente_nuevo,segmento_antiguedad,FLAG_deberia_haber_revisado,gasto_relativo,satisfaccion_baja,km_alto_pocas_rev,Mantenimiento_medio,Alpha,Categoria_Precio
SYN000010,2024-01-14,PA200075,104367,20089,Particular,Contado,NO,SI,0,13/01/2028,31/12/2023,SI,951,M,CP28807,33,27803,98,B,B,TIPO6,HÍBRIDO,M,Mid-High,85,0,0,0,NO,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,5237.2,2449.17,0,0,1,12.19,0,0,0.0,1,Nuevo,0,0.7225479264827537,0,0,263.0,0.07,PREMIUM
SYN000011,2024-01-02,PA200082,107439,18261,Particular,Financiera Marca,"SI, Financiera",NO,0,01/01/2028,31/12/2023,SI,1403,F,CP35013,24,0,0,,H,TIPO7,HÍBRIDO,M,Mid-High,85,0,0,0,NO,0,0,MALAGA,MALAGA,SUR,Internet,6059.0,78.14,0,1,1,0.43,0,0,0.0,1,Nuevo,0,18261.0,1,0,353.0,0.1,ESTANDAR
SYN000012,2024-02-26,PA200051,108341,27147,Particular,Contado,NO,NO,0,25/02/2028,31/12/2023,SI,0,M,CP46841,32,24771,114,H,D,TIPO1,HÍBRIDO,M,Mid,99,0,0,0,NO,0,0,BARCELONA NORTE,BARCELONA,ESTE,Tienda,7077.22,393.38,0,0,1,1.45,0,0,0.0,1,Nuevo,0,1.0959186145089015,0,0,290.0,0.1,ESTANDAR
SYN000013,2024-03-21,PA200042,105760,29956,No Particular,Contado,SI,NO,0,20/03/2028,31/12/2023,SI,0,M,CP17244,26,25667,12,H,D,TIPO6,HÍBRIDO,M,Mid,115,0,0,0,NO,0,0,BARCELONA SUR,BARCELONA,ESTE,Tienda,7809.53,459.96,0,1,1,1.54,0,0,0.0,1,Nuevo,0,1.167101725951611,0,0,290.0,0.1,ESTANDAR
SYN000014,2024-03-06,PA200037,100322,33404,Particular,Contado,SI,NO,0,05/03/2028,31/12/2023,SI,3360,M,CP28660,50,30066,11,D,J,TIPO7,HÍBRIDO,M,Mid,183,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,1319.46,-10207.29,0,1,1,-30.56,1,0,0.0,1,Nuevo,0,1.1110224173485,0,0,390.0,0.1,ESTANDAR
SYN000015,2024-02-13,PA200023,102629,30330,Particular,Financiera Marca,NO,NO,4,12/02/2028,31/12/2023,SI,1439,M,CP39470,44,22758,65,H,I,TIPO7,HÍBRIDO,M,Mid,106,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Internet,10303.1,6218.03,0,0,1,20.5,0,0,0.0,1,Nuevo,0,1.3327181650408648,0,0,371.0,0.1,ESTANDAR
SYN000016,2024-01-06,PA200064,102096,19472,No Particular,Contado,NO,SI,0,05/01/2028,31/12/2023,SI,2284,F,CP12540,35,25524,15,H,B,TIPO1,HÍBRIDO,M,Mid,81,0,0,0,NO,0,0,MADRID SUR,MADRID,CENTRO,Tienda,5076.35,1004.06,0,0,1,5.16,0,0,0.0,1,Nuevo,0,0.7628898291803793,0,0,263.0,0.07,PREMIUM
SYN000017,2024-03-18,PA200038,65885,22094,No Particular,Contado,NO,NO,0,17/03/2028,31/12/2023,SI,1034,F,CP6350,37,17824,124,K,B,TIPO1,HÍBRIDO,M,Mid,106,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,5759.91,2730.48,0,0,1,12.36,0,0,0.0,1,Nuevo,0,1.239564631956912,0,0,263.0,0.07,PREMIUM
SYN000018,2024-03-10,PA200041,35759,28667,Particular,Financiera Marca,"SI, Financiera",NO,4,09/03/2028,31/12/2023,SI,1034,M,CP28231,38,0,0,,I,TIPO7,HÍBRIDO,M,High,106,0,0,0,NO,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Internet,9738.18,6189.49,0,1,1,21.59,0,0,0.0,1,Nuevo,0,28667.0,1,0,371.0,0.1,ESTANDAR
SYN000019,2024-01-31,PA200063,104862,23744,Particular,Financiera Marca,"SI, Financiera",NO,0,30/01/2028,31/12/2023,SI,3232,F,CP19208,57,32218,97,C,C,TIPO4,HÍBRIDO,M,Mid,81,0,0,0,NO,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,6190.06,-2919.27,0,1,1,-12.29,1,0,0.0,1,Nuevo,0,0.7369793283257806,0,0,276.0,0.1,ESTANDAR
SYN000020,2024-02-27,PA200089,100155,20999,Particular,Financiera Marca,NO,NO,0,26/02/2028,31/12/2023,SI,1514,M,CP4007,41,24093,12,H,B,TIPO6,HÍBRIDO,M,High,77,0,0,0,NO,0,0,SEVILLA,SEVILLA,SUR,Tienda,5474.44,2051.52,0,0,1,9.77,0,0,0.0,1,Nuevo,0,0.871580957124476,0,0,263.0,0.07,PREMIUM
SYN000021,2024-03-09,PA200052,85346,22764,Particular,Contado,SI,NO,0,08/03/2028,31/12/2023,SI,683,F,CP8339,42,31429,13,C,E,TIPO2,HÍBRIDO,M,Mid,89,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,6653.92,325.85,0,1,1,1.43,0,0,0.0,1,Nuevo,0,0.7242992141016259,0,0,305.0,0.1,ESTANDAR
SYN000022,2024-01-02,PA200017,104326,23547,No Particular,Otros,"SI, Financiera",NO,0,01/01/2028,31/12/2023,SI,1294,M,CP41005,40,33929,114,E,I,TIPO7,HÍBRIDO,M,Mid-High,117,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,7998.92,4594.7,0,1,1,19.51,0,0,0.0,1,Nuevo,0,0.694008075687465,0,0,371.0,0.1,ESTANDAR
SYN000023,2024-03-25,PA200081,104824,23689,No Particular,Financiera Marca,"SI, Financiera",NO,0,24/03/2028,31/12/2023,SI,1405,M,CP22300,57,25604,165,H,H,TIPO7,HÍBRIDO,M,Mid,106,0,0,0,NO,0,0,MALAGA,MALAGA,SUR,Tienda,7860.01,590.72,0,1,1,2.49,0,0,0.0,1,Nuevo,0,0.9252069989064209,0,0,353.0,0.1,ESTANDAR
SYN000024,2024-02-09,PA200015,105114,28453,Particular,Contado,NO,NO,0,08/02/2028,31/12/2023,SI,1034,F,CP50008,65,33868,15,A,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,NO,1,1,MADRID NORTE,MADRID,CENTRO,Internet,9665.48,6133.7,0,0,1,21.56,0,0,0.0,1,Nuevo,0,0.8401145624188024,0,0,371.0,0.1,ESTANDAR
SYN000025,2024-01-20,PA200003,104382,33863,Particular,Contado,SI,NO,0,19/01/2028,31/12/2023,SI,994,M,CP14005,26,34078,123,D,I,TIPO7,ELÉCTRICO,A,Mid,106,0,0,0,NO,0,0,BARCELONA SUR,BARCELONA,ESTE,Tienda,11503.26,7584.08,0,1,1,22.4,0,0,0.0,1,Nuevo,0,0.9936909443042432,0,0,371.0,0.1,ESTANDAR
SYN000026,2024-02-09,PA200013,106901,17113,Particular,Contado,SI,NO,0,08/02/2028,31/12/2023,SI,947,M,CP29011,31,27320,116,C,B,TIPO1,HÍBRIDO,M,Low,74,0,0,0,NO,0,0,BARCELONA SUR,BARCELONA,ESTE,Internet,4461.36,1912.43,0,1,1,11.18,0,0,0.0,1,Nuevo,0,0.6263909224011713,0,0,263.0,0.07,PREMIUM
SYN000027,2024-02-24,PA200084,103859,13494,Particular,Contado,NO,NO,0,23/02/2028,31/12/2023,SI,0,M,CP46688,34,25094,96,H,A,TIPO1,HÍBRIDO,M,Mid-High,48,0,0,0,NO,0,0,SEVILLA,SEVILLA,SUR,Internet,2984.87,1668.85,0,0,1,12.37,0,0,0.0,1,Nuevo,0,0.5377381047262294,0,0,250.0,0.07,PREMIUM
SYN000028,2024-03-22,PA200021,100074,29446,Particular,Financiera Marca,NO,NO,4,21/03/2028,31/12/2023,SI,1399,F,CP2695,45,22146,99,K,I,TIPO7,ELÉCTRICO,A,High,106,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Internet,10002.81,6027.57,0,0,1,20.47,0,0,0.0,1,Nuevo,0,1.329630633071435,0,0,371.0,0.1,ESTANDAR
SYN000029,2024-02-15,PA200095,108095,19342,Particular,Prestamo Bancario,NO,SI,0,14/02/2028,31/12/2023,SI,1526,M,CP43830,29,0,0,,B,TIPO1,HÍBRIDO,M,Mid,81,0,0,0,NO,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,5042.46,1738.44,0,0,1,8.99,0,0,0.0,1,Nuevo,0,19342.0,1,0,263.0,0.07,PREMIUM
SYN000030,2024-02-24,PA200017,107836,36634,Particular,Financiera Marca,NO,NO,4,23/02/2028,31/12/2023,SI,1399,M,CP15702,35,0,0,,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,12444.57,7901.48,0,0,1,21.57,0,0,0.0,1,Nuevo,0,36634.0,1,0,371.0,0.1,ESTANDAR
SYN000031,2024-03-20,PA200047,96300,20066,Particular,Otros,NO,NO,0,19/03/2028,31/12/2023,SI,2470,F,CP19160,40,32019,97,C,B,TIPO1,HÍBRIDO,M,Low,101,0,0,0,NO,0,0,MADRID SUR,MADRID,CENTRO,Tienda,5231.21,925.99,0,0,1,4.61,0,0,0.0,1,Nuevo,0,0.626690402573472,0,0,263.0,0.07,PREMIUM
SYN000032,2024-03-30,PA200077,100927,27379,Particular,Financiera Marca,"SI, Financiera",NO,0,29/03/2028,31/12/2023,SI,1521,M,CP8030,56,25597,92,B,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,NO,0,0,BARCELONA NORTE,BARCELONA,ESTE,Tienda,9300.65,5366.71,0,1,1,19.6,0,0,0.0,1,Nuevo,0,1.0696175333046842,0,0,371.0,0.1,ESTANDAR
SYN000033,2024-02-24,PA200005,100141,20671,Particular,Contado,NO,NO,0,23/02/2028,31/12/2023,SI,716,M,CP8140,47,0,0,,H,TIPO7,HÍBRIDO,M,Mid,85,0,0,0,NO,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,6858.64,993.61,0,0,1,4.81,0,0,0.0,1,Nuevo,0,20671.0,1,0,353.0,0.1,ESTANDAR
SYN000034,2024-01-05,PA200079,104364,22940,Particular,Financiera Marca,"SI, Financiera",NO,0,04/01/2028,31/12/2023,SI,1876,M,CP46176,59,21711,116,H,B,TIPO1,HÍBRIDO,M,Mid-High,106,0,0,0,NO,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,5980.46,2042.2,0,1,1,8.9,0,0,0.0,1,Nuevo,0,1.056607249781217,0,0,263.0,0.07,PREMIUM
SYN000035,2024-01-29,PA200036,105450,23321,No Particular,Financiera Marca,"SI, Financiera",NO,0,28/01/2028,31/12/2023,SI,2053,M,CP28905,36,0,0,,B,TIPO1,HÍBRIDO,M,Mid-High,106,0,0,0,NO,1,1,BARCELONA NORTE,BARCELONA,ESTE,Internet,6079.78,1934.43,0,1,1,8.29,0,0,0.0,1,Nuevo,0,23321.0,1,0,263.0,0.07,PREMIUM
SYN000036,2024-01-17,PA200026,69278,17305,Particular,Prestamo Bancario,NO,SI,0,16/01/2028,31/12/2023,SI,1909,M,CP46970,58,25862,117,G,B,TIPO1,HÍBRIDO,M,Mid,74,0,0,0,NO,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,4511.41,985.32,0,0,1,5.69,0,0,0.0,1,Nuevo,0,0.6691284510092027,0,0,263.0,0.07,PREMIUM
SYN000037,2024-03-27,PA200013,106226,22518,Particular,Contado,NO,NO,0,26/03/2028,31/12/2023,SI,915,M,CP33424,33,0,41,G,B,TIPO1,HÍBRIDO,M,Mid,117,0,0,0,NO,0,0,SEVILLA,SEVILLA,SUR,Internet,5870.44,2926.52,0,0,1,13.0,0,0,0.0,1,Nuevo,0,22518.0,0,0,263.0,0.07,PREMIUM
SYN000038,2024-03-20,PA200042,102207,18719,No Particular,Contado,NO,NO,0,19/03/2028,31/12/2023,SI,1936,M,CP8303,53,27105,13,G,B,TIPO1,HÍBRIDO,M,Low,78,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Internet,4880.04,1215.24,0,0,1,6.49,0,0,0.0,1,Nuevo,0,0.690610588452315,0,0,263.0,0.07,PREMIUM
SYN000039,2024-01-06,PA200042,106634,30182,Particular,Financiera Marca,"SI, Financiera",NO,0,05/01/2028,31/12/2023,SI,1584,M,CP28017,47,33127,121,E,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,NO,0,0,MADRID SUR,MADRID,CENTRO,Tienda,10252.83,6034.45,0,1,1,19.99,0,0,0.0,1,Nuevo,0,0.9110997071874906,0,0,371.0,0.1,ESTANDAR
SYN000040,2024-02-01,PA200087,101942,17305,Particular,Contado,SI,NO,0,31/01/2028,31/12/2023,SI,1909,M,CP8032,48,27880,96,B,B,TIPO1,HÍBRIDO,M,Mid,74,0,0,0,NO,0,0,BILBAO,BILBAO,NORTE,Internet,4511.41,985.32,0,1,1,5.69,0,0,0.0,1,Nuevo,0,0.6206958393113343,0,0,263.0,0.07,PREMIUM
SYN000041,2024-03-16,PA200089,108450,25147,No Particular,Financiera Marca,"SI, Financiera",NO,4,15/03/2028,31/12/2023,SI,994,M,CP29100,60,0,32,F,I,TIPO7,HÍBRIDO,M,High,117,0,0,0,NO,0,0,BILBAO,BILBAO,NORTE,Internet,8542.44,5311.82,0,1,1,21.12,0,0,0.0,1,Nuevo,0,25147.0,0,0,371.0,0.1,ESTANDAR
SYN000042,2024-01-22,PA200006,56627,29446,Particular,Financiera Marca,"SI, Financiera",NO,4,21/01/2028,31/12/2023,SI,994,M,CP46900,32,36691,131,A,I,TIPO7,ELÉCTRICO,A,High,106,0,0,0,NO,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,10002.81,6432.57,0,1,1,21.85,0,0,0.0,1,Nuevo,0,0.8025401324575508,0,0,371.0,0.1,ESTANDAR
SYN000043,2024-03-19,PA200023,40268,14099,Particular,Contado,SI,NO,0,18/03/2028,31/12/2023,SI,916,F,CP28007,44,33423,151,D,A,TIPO1,HÍBRIDO,M,Mid,59,0,0,0,NO,0,0,MALAGA,MALAGA,SUR,Tienda,3118.7,838.88,0,1,1,5.95,0,0,0.0,1,Nuevo,0,0.42183526314214764,0,0,250.0,0.07,PREMIUM
SYN000044,2024-03-23,PA200057,108378,28667,Particular,Contado,NO,NO,0,22/03/2028,31/12/2023,SI,1034,M,CP26006,39,30049,17,D,I,TIPO7,HÍBRIDO,M,High,106,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Internet,9738.18,6189.49,0,0,1,21.59,0,0,0.0,1,Nuevo,0,0.9540084528603281,0,0,371.0,0.1,ESTANDAR
SYN000045,2024-01-30,PA200032,108255,23542,Particular,Contado,SI,NO,0,29/01/2028,31/12/2023,SI,1400,M,CP11300,38,23371,63,E,C,TIPO4,HÍBRIDO,M,Mid,101,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,6137.4,-1092.05,0,1,1,-4.64,1,0,0.0,1,Nuevo,0,1.0073167600872877,0,0,276.0,0.1,ESTANDAR
SYN000046,2024-01-10,PA200064,105329,22465,Particular,Financiera Marca,"SI, Financiera",NO,0,09/01/2028,31/12/2023,SI,1421,M,CP28490,42,32336,1,C,B,TIPO6,HÍBRIDO,M,Mid,85,0,0,0,NO,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,5856.63,2410.89,0,1,1,10.73,0,0,0.0,1,Nuevo,0,0.6947365165759525,0,0,263.0,0.07,PREMIUM
SYN000047,2024-01-29,PA200088,100745,24004,Particular,Contado,NO,NO,0,28/01/2028,31/12/2023,SI,0,M,CP8950,52,26519,18,E,D,TIPO6,HÍBRIDO,M,Low,99,0,0,0,NO,0,0,BILBAO,BILBAO,NORTE,Tienda,6257.84,318.89,0,0,1,1.33,0,0,0.0,1,Nuevo,0,0.9051623364380256,0,0,290.0,0.1,ESTANDAR
SYN000048,2024-02-10,PA200015,101484,17524,Particular,Financiera Marca,"SI, Financiera",NO,0,09/02/2028,31/12/2023,SI,1757,M,CP3430,47,25046,78,D,A,TIPO1,HÍBRIDO,M,Mid,64,0,0,0,NO,0,0,VALENCIA,VALENCIA,ESTE,Tienda,3876.31,484.91,0,1,1,2.77,0,0,0.0,1,Nuevo,0,0.6996726024115627,0,0,250.0,0.07,PREMIUM
SYN000049,2024-02-17,PA200069,106040,26624,No Particular,Financiera Marca,"SI, Financiera",NO,0,16/02/2028,31/12/2023,SI,1821,M,CP8820,36,25051,112,E,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,NO,1,1,LA CORUÑA,LA CORUÑA,NORTE,Internet,9044.17,4869.88,0,1,1,18.29,0,0,0.0,1,Nuevo,0,1.0627919045147898,0,0,371.0,0.1,ESTANDAR
SYN000050,2024-02-07,PA200068,107591,20089,Particular,Financiera Marca,"SI, Financiera",NO,0,06/02/2028,31/12/2023,SI,1339,M,CP28700,41,37716,9,D,B,TIPO6,HÍBRIDO,M,Mid-High,85,0,0,0,NO,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,5237.2,2061.17,0,1,1,10.26,0,0,0.0,1,Nuevo,0,0.5326386679393361,0,0,263.0,0.07,PREMIUM
SYN000051,2024-01-19,PA200100,103223,19731,Particular,Financiera Marca,NO,NO,0,18/01/2028,31/12/2023,SI,812,F,CP36419,29,21343,0,U,B,TIPO1,HÍBRIDO,M,Mid-High,77,0,0,0,NO,1,1,BARCELONA CENTRO,BARCELONA,ESTE,Internet,5143.87,2523.12,0,0,1,12.79,0,0,0.0,1,Nuevo,0,0.9244717237501757,1,0,263.0,0.07,PREMIUM
SYN000052,2024-03-02,PA200096,103722,23439,Particular,Contado,NO,NO,0,01/03/2028,31/12/2023,SI,1364,M,CP28031,48,28470,114,E,B,TIPO1,HÍBRIDO,M,Mid-High,106,0,0,0,NO,0,0,MADRID OESTE,MADRID,CENTRO,Internet,6110.55,2644.87,0,0,1,11.28,0,0,0.0,1,Nuevo,0,0.8232876712328767,0,0,263.0,0.07,PREMIUM
SYN000053,2024-02-22,PA200029,101201,35404,Particular,Financiera Marca,"SI, Financiera",NO,0,21/02/2028,31/12/2023,SI,1482,M,CP48003,52,29207,13,C,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,NO,0,0,VALENCIA,VALENCIA,ESTE,Tienda,12026.74,7497.82,0,1,1,21.18,0,0,0.0,1,Nuevo,0,1.212175163488205,0,0,371.0,0.1,ESTANDAR
SYN000054,2024-01-28,PA200094,104758,24579,Particular,Prestamo Bancario,NO,NO,0,27/01/2028,31/12/2023,SI,2091,M,CP46017,52,29104,1,D,D,TIPO6,HÍBRIDO,M,Low,89,0,0,0,NO,0,0,BARCELONA CENTRO,BARCELONA,ESTE,Tienda,6407.75,-1758.48,0,0,1,-7.15,1,0,0.0,1,Nuevo,0,0.8445230896096756,0,0,290.0,0.1,ESTANDAR
SYN000055,2024-02-07,PA200012,107250,17512,Particular,Contado,NO,NO,0,06/02/2028,31/12/2023,SI,746,M,CP44003,49,23584,76,H,B,TIPO1,HÍBRIDO,M,Mid-High,74,0,0,0,NO,1,1,MALAGA,MALAGA,SUR,Internet,4565.38,2185.93,0,0,1,12.48,0,0,0.0,1,Nuevo,0,0.7425373134328358,0,0,263.0,0.07,PREMIUM
SYN000056,2024-01-27,PA200079,101451,24004,Particular,Contado,NO,NO,0,26/01/2028,31/12/2023,SI,1211,F,CP17003,54,37188,116,A,D,TIPO6,HÍBRIDO,M,Low,99,0,0,0,NO,0,0,BARCELONA SUR,BARCELONA,ESTE,Tienda,6257.84,-892.11,0,0,1,-3.72,1,0,0.0,1,Nuevo,0,0.6454770356028826,0,0,290.0,0.1,ESTANDAR
SYN000057,2024-03-10,PA200093,91382,18299,Particular,Prestamo Bancario,NO,NO,0,09/03/2028,31/12/2023,SI,2111,F,CP28230,42,37059,118,A,B,TIPO1,HÍBRIDO,M,High,74,0,0,0,NO,0,0,SEVILLA,SEVILLA,SUR,Tienda,4770.55,963.93,0,0,1,5.27,0,0,0.0,1,Nuevo,0,0.49378018834830945,0,0,263.0,0.07,PREMIUM
SYN000058,2024-02-05,PA200013,102026,27160,Particular,Contado,SI,NO,0,04/02/2028,31/12/2023,SI,1392,M,CP28320,71,28575,0,A,D,TIPO6,HÍBRIDO,M,High,103,0,0,0,NO,1,1,MADRID ESTE,MADRID,CENTRO,Internet,7080.61,-998.31,0,1,1,-3.68,1,0,0.0,1,Nuevo,0,0.9504811898512686,1,0,290.0,0.1,ESTANDAR
SYN000059,2024-01-25,PA200060,103600,33856,Particular,Contado,SI,NO,0,24/01/2028,31/12/2023,SI,956,M,CP28051,40,28852,9,D,I,TIPO7,ELÉCTRICO,A,Mid,136,0,0,0,NO,0,0,BARCELONA NORTE,BARCELONA,ESTE,Internet,11500.88,7620.26,0,1,1,22.51,0,0,0.0,1,Nuevo,0,1.1734368501317067,0,0,371.0,0.1,ESTANDAR
SYN000060,2024-03-04,PA200049,104413,30377,Particular,Financiera Marca,NO,NO,4,03/03/2028,31/12/2023,SI,2668,M,CP28230,46,0,0,,D,TIPO6,HÍBRIDO,M,High,106,0,0,0,NO,1,1,BARCELONA SUR,BARCELONA,ESTE,Internet,7919.28,-2198.07,0,0,1,-7.24,1,0,0.0,1,Nuevo,0,30377.0,1,0,290.0,0.1,ESTANDAR
SYN000061,2024-03-02,PA200087,105642,21610,Particular,Financiera Marca,"SI, Financiera",NO,0,01/03/2028,31/12/2023,SI,1174,F,CP38006,38,27791,85,C,B,TIPO1,HÍBRIDO,M,Mid,85,0,0,0,NO,0,0,BILBAO,BILBAO,NORTE,Internet,5633.73,2502.54,0,1,1,11.58,0,0,0.0,1,Nuevo,0,0.7775898672232018,0,0,263.0,0.07,PREMIUM
