Customer_ID,GENERO,Edad,CODIGO_POSTAL,RENTA_MEDIA_ESTIMADA,STATUS_SOCIAL,ZONA,PROV_DESC,TIENDA_DESC
21240,F,29,CP20700,31124,G,CENTRO,MADRID,MADRID OESTE
34114,F,60,CP48992,0,,NORTE,BILBAO,BILBAO
84274,M,35,CP50018,36977,,ESTE,BARCELONA,BARCELONA CENTRO
81101,M,36,CP33008,0,,CENTRO,MADRID,MADRID NORTE
70873,F,47,CP28022,27658,B,CENTRO,MADRID,MADRID OESTE
70239,M,34,CP28240,28228,C,ESTE,BARCELONA,BARCELONA NORTE
83407,M,33,CP33211,23727,G,SUR,MALAGA,MALAGA
91578,M,29,CP12004,27106,D,ESTE,VALENCIA,VALENCIA
18488,F,51,CP12540,0,,CENTRO,MADRID,MADRID SUR
38716,M,46,CP7141,28731,U,ESTE,BARCELONA,BARCELONA SUR
33062,M,34,CP8303,25263,H,CENTRO,MADRID,MADRID NORTE
60602,M,35,CP8912,27269,D,CENTRO,MADRID,MADRID NORTE
75743,M,38,CP21006,26680,E,CENTRO,MADRID,MADRID NORTE
75147,M,43,CP35009,23713,B,SUR,SEVILLA,SEVILLA
67665,M,40,CP36950,0,,ESTE,BARCELONA,BARCELONA SUR
2607,M,32,CP9007,26443,E,ESTE,VALENCIA,VALENCIA
48510,M,44,CP46022,23673,E,CENTRO,MADRID,MADRID NORTE
79059,M,41,CP24009,26275,H,ESTE,BARCELONA,BARCELONA NORTE
90600,M,43,CP7008,0,,ESTE,BARCELONA,BARCELONA CENTRO
30992,M,58,CP46008,0,,CENTRO,MADRID,MADRID SUR
41693,M,37,CP46022,0,,SUR,MALAGA,MALAGA
35581,M,58,CP28031,27202,E,NORTE,BILBAO,BILBAO
97779,M,55,CP28029,0,,ESTE,BARCELONA,BARCELONA SUR
60299,F,36,CP15886,27023,,NORTE,BILBAO,BILBAO
22094,F,29,CP3578,0,,CENTRO,MADRID,MADRID NORTE
86904,M,29,CP46015,0,,NORTE,BILBAO,BILBAO
40539,M,43,CP8016,24203,B,CENTRO,MADRID,MADRID ESTE
97078,M,44,CP36312,34003,A,CENTRO,MADRID,MADRID OESTE
30732,F,31,CP28805,24689,E,ESTE,BARCELONA,BARCELONA CENTRO
37481,F,50,CP48901,23790,,ESTE,BARCELONA,BARCELONA SUR
16710,F,43,CP8191,23549,E,CENTRO,MADRID,MADRID SUR
89531,M,42,CP15160,0,,CENTRO,MADRID,MADRID ESTE
15257,,55,CP28922,29073,D,ESTE,VALENCIA,VALENCIA
28059,F,54,CP8226,27311,G,SUR,MALAGA,MALAGA
74864,M,38,CP29004,0,,CENTRO,MADRID,MADRID OESTE
24120,M,40,CP28045,24735,B,NORTE,LA CORUÑA,LA CORUÑA
14963,F,49,CP8013,29847,C,ESTE,BARCELONA,BARCELONA CENTRO
13642,M,50,CP28290,0,,NORTE,LA CORUÑA,LA CORUÑA
67964,M,47,CP16003,26595,D,NORTE,LA CORUÑA,LA CORUÑA
80678,M,46,CP43479,0,C,NORTE,LA CORUÑA,LA CORUÑA
25501,M,49,CP34005,27291,G,CENTRO,MADRID,MADRID OESTE
19270,M,47,CP46510,24792,H,CENTRO,MADRID,MADRID NORTE
67275,M,29,CP18600,24393,I,CENTRO,MADRID,MADRID SUR
50566,F,57,CP50002,27732,E,CENTRO,MADRID,MADRID ESTE
46083,M,73,CP6400,25457,H,ESTE,BARCELONA,BARCELONA SUR
40254,M,48,CP37900,29094,D,ESTE,BARCELONA,BARCELONA CENTRO
82074,M,48,CP21610,22362,,ESTE,VALENCIA,VALENCIA
57302,M,39,CP17242,0,,CENTRO,MADRID,MADRID OESTE
90623,M,37,CP44366,18508,K,ESTE,BARCELONA,BARCELONA NORTE
72342,M,33,CP46810,24306,D,SUR,MALAGA,MALAGA
62772,M,59,CP30011,24476,,CENTRO,MADRID,MADRID ESTE
93774,M,53,CP43005,33507,D,SUR,MALAGA,MALAGA
28056,M,59,CP8320,35353,C,CENTRO,MADRID,MADRID NORTE
91606,M,31,CP50011,28511,H,CENTRO,MADRID,MADRID OESTE
65678,M,35,CP7141,31991,C,ESTE,BARCELONA,BARCELONA SUR
15170,M,44,CP38008,0,,CENTRO,MADRID,MADRID ESTE
25159,M,42,CP30003,35341,E,CENTRO,MADRID,MADRID OESTE
47691,F,31,CP28260,37469,A,NORTE,LA CORUÑA,LA CORUÑA
72726,F,55,CP36300,21909,I,CENTRO,MADRID,MADRID SUR
27496,M,47,CP28019,26013,B,NORTE,BILBAO,BILBAO
32926,F,50,CP31011,33807,E,ESTE,BARCELONA,BARCELONA SUR
76684,M,28,CP18010,27627,B,CENTRO,MADRID,MADRID ESTE
52174,M,46,CP30310,0,D,CENTRO,MADRID,MADRID NORTE
35995,F,41,CP48015,23978,G,ESTE,BARCELONA,BARCELONA SUR
87245,F,37,CP4720,26263,I,CENTRO,MADRID,MADRID OESTE
57278,F,36,CP15600,24361,H,ESTE,VALENCIA,VALENCIA
88644,M,46,CP28045,25306,B,NORTE,BILBAO,BILBAO
91324,M,46,CP8100,30050,D,CENTRO,MADRID,MADRID NORTE
7695,M,41,CP11012,21539,E,ESTE,BARCELONA,BARCELONA SUR
35679,F,45,CP8232,32096,C,CENTRO,MADRID,MADRID ESTE
12286,F,26,CP8225,29623,D,ESTE,VALENCIA,VALENCIA
38071,M,26,CP28100,24969,E,CENTRO,MADRID,MADRID NORTE
12842,F,31,CP28937,23603,G,CENTRO,MADRID,MADRID NORTE
96470,M,35,CP14630,17336,J,CENTRO,MADRID,MADRID OESTE
5788,F,45,CP11011,24369,U,CENTRO,MADRID,MADRID NORTE
67027,F,38,CP43202,25151,H,ESTE,BARCELONA,BARCELONA CENTRO
33055,M,33,CP38320,0,,CENTRO,MADRID,MADRID SUR
92243,M,39,CP28410,31083,D,NORTE,BILBAO,BILBAO
56385,F,26,CP36211,30484,B,ESTE,BARCELONA,BARCELONA CENTRO
88687,M,46,CP9140,0,,SUR,SEVILLA,SEVILLA
63284,M,30,CP8302,27383,G,CENTRO,MADRID,MADRID NORTE
3934,M,27,CP37191,30052,D,CENTRO,MADRID,MADRID OESTE
70206,M,46,CP8830,0,,SUR,MALAGA,MALAGA
74298,M,37,CP29004,32427,D,NORTE,BILBAO,BILBAO
1532,F,38,CP29630,28679,,CENTRO,MADRID,MADRID OESTE
90716,F,36,CP29007,23623,E,ESTE,BARCELONA,BARCELONA CENTRO
25927,M,20,CP29018,36878,A,CENTRO,MADRID,MADRID SUR
34747,M,26,CP28007,0,,ESTE,VALENCIA,VALENCIA
58186,M,48,CP7008,27257,G,CENTRO,MADRID,MADRID SUR
74790,F,22,CP36900,27052,B,CENTRO,MADRID,MADRID OESTE
26572,M,51,CP41500,23561,E,CENTRO,MADRID,MADRID ESTE
3413,F,38,CP25211,0,,CENTRO,MADRID,MADRID ESTE
22869,M,42,CP28026,24272,B,CENTRO,MADRID,MADRID NORTE
65918,M,37,CP3203,27282,B,NORTE,BILBAO,BILBAO
76648,M,33,CP20570,31302,G,ESTE,BARCELONA,BARCELONA NORTE
77763,M,47,CP3340,24318,,CENTRO,MADRID,MADRID OESTE
82610,F,25,CP28901,27357,B,SUR,SEVILLA,SEVILLA
82667,M,38,CP46940,0,,CENTRO,MADRID,MADRID OESTE
21652,M,43,CP8918,0,,CENTRO,MADRID,MADRID OESTE
59418,M,34,CP17868,0,K,ESTE,BARCELONA,BARCELONA SUR
53904,M,25,CP8024,30186,C,CENTRO,MADRID,MADRID OESTE
1810,M,34,CP12002,28379,B,ESTE,VALENCIA,VALENCIA
53151,M,25,CP28760,0,A,CENTRO,MADRID,MADRID SUR
35190,M,35,CP14100,0,J,CENTRO,MADRID,MADRID SUR
27347,M,42,CP15404,0,,SUR,MALAGA,MALAGA
81791,F,31,CP46529,0,C,CENTRO,MADRID,MADRID SUR
85090,M,29,CP28850,24582,E,CENTRO,MADRID,MADRID ESTE
37395,M,34,CP13500,28677,B,CENTRO,MADRID,MADRID NORTE
26748,M,52,CP7011,27843,C,CENTRO,MADRID,MADRID ESTE
91254,M,33,CP19100,0,,ESTE,BARCELONA,BARCELONA CENTRO
29432,M,49,CP6010,37204,A,NORTE,LA CORUÑA,LA CORUÑA
99726,M,37,CP28830,29229,C,CENTRO,MADRID,MADRID NORTE
98446,M,56,CP4710,29543,J,ESTE,BARCELONA,BARCELONA NORTE
81247,F,34,CP4450,18548,K,ESTE,BARCELONA,BARCELONA NORTE
93647,F,52,CP47008,35349,E,ESTE,BARCELONA,BARCELONA CENTRO
34615,M,55,CP8917,0,,CENTRO,MADRID,MADRID NORTE
82513,F,47,CP8850,23907,G,CENTRO,MADRID,MADRID NORTE
7088,M,26,CP8223,27426,G,ESTE,BARCELONA,BARCELONA SUR
20228,F,28,CP36210,0,,CENTRO,MADRID,MADRID SUR
34099,M,37,CP3201,26612,G,ESTE,BARCELONA,BARCELONA CENTRO
96516,,31,CP8004,24625,B,CENTRO,MADRID,MADRID SUR
42522,M,44,CP46711,24778,H,ESTE,BARCELONA,BARCELONA CENTRO
72311,M,39,CP31012,28487,D,CENTRO,MADRID,MADRID NORTE
59657,F,48,CP28943,36651,,CENTRO,MADRID,MADRID SUR
49595,M,48,CP46023,33500,D,CENTRO,MADRID,MADRID SUR
80099,F,30,CP24006,26320,H,ESTE,BARCELONA,BARCELONA NORTE
51105,M,30,CP28700,27659,D,SUR,MALAGA,MALAGA
18635,M,28,CP32004,33860,A,NORTE,LA CORUÑA,LA CORUÑA
70737,M,52,CP1015,25503,D,CENTRO,MADRID,MADRID ESTE
3186,M,26,CP46015,26933,,NORTE,LA CORUÑA,LA CORUÑA
56515,F,28,CP12194,0,,CENTRO,MADRID,MADRID SUR
54737,M,50,CP13300,20684,U,ESTE,BARCELONA,BARCELONA CENTRO
51200,F,32,CP15008,23419,E,ESTE,BARCELONA,BARCELONA SUR
66036,M,46,CP46020,33890,E,ESTE,BARCELONA,BARCELONA CENTRO
4545,F,45,CP28043,27540,E,CENTRO,MADRID,MADRID SUR
24300,M,56,CP28945,0,,ESTE,BARCELONA,BARCELONA SUR
80916,M,39,CP24195,30802,C,SUR,MALAGA,MALAGA
50189,M,46,CP23700,21385,I,CENTRO,MADRID,MADRID OESTE
41913,M,53,CP6410,19418,J,CENTRO,MADRID,MADRID NORTE
84382,M,42,CP33800,16367,K,ESTE,BARCELONA,BARCELONA CENTRO
15256,M,30,CP15621,0,H,NORTE,BILBAO,BILBAO
18447,F,40,CP11011,35403,E,CENTRO,MADRID,MADRID ESTE
66625,M,50,CP4720,23059,,ESTE,BARCELONA,BARCELONA CENTRO
52647,M,37,CP32005,0,,ESTE,BARCELONA,BARCELONA NORTE
3147,M,38,CP32003,28686,C,CENTRO,MADRID,MADRID SUR
55878,M,59,CP19200,28965,D,SUR,MALAGA,MALAGA
1708,F,61,CP38700,26640,B,ESTE,BARCELONA,BARCELONA CENTRO
41444,M,53,CP28047,33774,E,ESTE,BARCELONA,BARCELONA CENTRO
50926,M,50,CP28850,27427,E,CENTRO,MADRID,MADRID SUR
4952,F,33,CP31192,37592,A,NORTE,LA CORUÑA,LA CORUÑA
926,M,46,CP28691,37731,A,NORTE,BILBAO,BILBAO
40885,M,52,CP3204,0,,CENTRO,MADRID,MADRID NORTE
73807,M,49,CP36204,27418,C,CENTRO,MADRID,MADRID OESTE
12974,,56,CP8292,32095,C,SUR,SEVILLA,SEVILLA
64963,M,68,CP28850,27711,D,CENTRO,MADRID,MADRID OESTE
73493,M,36,CP33207,23305,E,NORTE,LA CORUÑA,LA CORUÑA
37253,M,54,CP30550,24033,E,NORTE,LA CORUÑA,LA CORUÑA
46856,M,44,CP11204,0,,ESTE,BARCELONA,BARCELONA NORTE
15320,M,33,CP8008,0,,ESTE,BARCELONA,BARCELONA SUR
74252,M,75,CP43792,0,,CENTRO,MADRID,MADRID SUR
33767,M,34,CP50018,0,,NORTE,LA CORUÑA,LA CORUÑA
69817,F,25,CP36600,27797,I,CENTRO,MADRID,MADRID OESTE
52150,F,56,CP50008,0,,CENTRO,MADRID,MADRID ESTE
54835,M,55,CP40494,20674,K,CENTRO,MADRID,MADRID ESTE
30165,F,35,CP19003,27815,B,SUR,SEVILLA,SEVILLA
64675,M,58,CP28032,24840,E,ESTE,BARCELONA,BARCELONA CENTRO
13480,M,55,CP8160,25757,H,ESTE,BARCELONA,BARCELONA NORTE
523,M,32,CP36876,0,I,ESTE,BARCELONA,BARCELONA CENTRO
74232,M,30,CP8820,27318,G,CENTRO,MADRID,MADRID NORTE
98104,M,60,CP28025,0,,CENTRO,MADRID,MADRID ESTE
14922,M,43,CP46760,0,H,SUR,SEVILLA,SEVILLA
47798,M,51,CP7630,24710,H,CENTRO,MADRID,MADRID NORTE
2549,M,36,CP28529,0,,CENTRO,MADRID,MADRID SUR
99860,F,33,CP3205,24207,I,ESTE,BARCELONA,BARCELONA CENTRO
25547,,28,CP8014,29846,C,CENTRO,MADRID,MADRID ESTE
95971,M,45,CP9200,30828,D,ESTE,BARCELONA,BARCELONA NORTE
53491,M,23,CP8226,28670,D,ESTE,VALENCIA,VALENCIA
93152,F,32,CP36003,0,,CENTRO,MADRID,MADRID ESTE
63141,M,42,CP43141,25806,H,CENTRO,MADRID,MADRID ESTE
92084,F,55,CP30730,23576,H,CENTRO,MADRID,MADRID OESTE
69591,M,38,CP1010,27512,E,ESTE,BARCELONA,BARCELONA SUR
31850,M,59,CP24238,18406,K,NORTE,LA CORUÑA,LA CORUÑA
29254,F,47,CP18013,17286,I,SUR,SEVILLA,SEVILLA
33331,M,34,CP50014,24758,B,SUR,SEVILLA,SEVILLA
78741,M,39,CP41008,33901,A,CENTRO,MADRID,MADRID OESTE
52496,M,32,CP8921,27880,B,CENTRO,MADRID,MADRID NORTE
34790,M,35,CP8211,29256,U,CENTRO,MADRID,MADRID ESTE
78288,F,51,CP28529,37774,A,CENTRO,MADRID,MADRID OESTE
16575,F,60,CP8917,0,,ESTE,BARCELONA,BARCELONA CENTRO
51333,M,35,CP36210,0,,ESTE,BARCELONA,BARCELONA CENTRO
31339,M,27,CP28924,0,,CENTRO,MADRID,MADRID ESTE
45721,M,45,CP41013,21508,U,SUR,SEVILLA,SEVILLA
68636,F,32,CP28529,0,,SUR,MALAGA,MALAGA
68249,M,30,CP26124,28937,K,CENTRO,MADRID,MADRID NORTE
45424,F,49,CP15007,27806,C,CENTRO,MADRID,MADRID SUR
16877,M,44,CP4004,34654,E,CENTRO,MADRID,MADRID ESTE
58728,F,54,CP8224,27401,G,CENTRO,MADRID,MADRID ESTE
33860,M,53,CP15402,30904,A,NORTE,LA CORUÑA,LA CORUÑA
97679,F,37,CP41007,35962,A,CENTRO,MADRID,MADRID NORTE
82031,M,44,CP8397,25654,H,SUR,SEVILLA,SEVILLA
68994,F,57,CP29010,32790,A,CENTRO,MADRID,MADRID ESTE
22764,M,47,CP12580,24784,H,CENTRO,MADRID,MADRID ESTE
38544,M,49,CP36316,21332,,CENTRO,MADRID,MADRID SUR
25789,F,44,CP23002,24205,D,ESTE,BARCELONA,BARCELONA SUR
20447,M,31,CP28019,27788,B,ESTE,BARCELONA,BARCELONA NORTE
76289,F,53,CP28805,34413,C,NORTE,BILBAO,BILBAO
8698,F,50,CP8041,27972,B,ESTE,BARCELONA,BARCELONA CENTRO
71796,M,35,CP28820,0,,ESTE,BARCELONA,BARCELONA CENTRO
98352,M,49,CP10002,28319,,ESTE,BARCELONA,BARCELONA SUR
7783,M,51,CP8021,33189,A,NORTE,BILBAO,BILBAO
57643,M,58,CP38008,0,,CENTRO,MADRID,MADRID ESTE
80191,M,55,CP28220,37745,A,CENTRO,MADRID,MADRID SUR
32357,M,54,CP39010,32802,D,SUR,MALAGA,MALAGA
99692,F,44,CP41927,0,,NORTE,LA CORUÑA,LA CORUÑA
77806,M,50,CP11510,23478,I,CENTRO,MADRID,MADRID SUR
11858,M,33,CP12110,0,,ESTE,BARCELONA,BARCELONA SUR
37671,M,58,CP28017,24436,B,CENTRO,MADRID,MADRID NORTE
66075,M,39,CP8980,27314,B,CENTRO,MADRID,MADRID ESTE
36720,M,57,CP1206,28986,K,ESTE,BARCELONA,BARCELONA CENTRO
89070,F,29,CP12005,0,,NORTE,BILBAO,BILBAO
15093,F,53,CP4131,22079,,ESTE,BARCELONA,BARCELONA NORTE
48837,M,47,CP28936,27512,E,ESTE,BARCELONA,BARCELONA CENTRO
2489,M,56,CP28007,24734,B,CENTRO,MADRID,MADRID OESTE
99594,M,47,CP28850,30050,D,CENTRO,MADRID,MADRID NORTE
56722,M,29,CP8170,26743,H,CENTRO,MADRID,MADRID NORTE
19006,M,44,CP47195,31697,C,CENTRO,MADRID,MADRID ESTE
98331,F,43,CP35430,22912,,CENTRO,MADRID,MADRID ESTE
49769,M,47,CP8859,0,,NORTE,BILBAO,BILBAO
48856,M,27,CP28034,33587,E,SUR,SEVILLA,SEVILLA
61229,M,43,CP8240,29032,,CENTRO,MADRID,MADRID OESTE
55946,F,46,CP46600,25196,,CENTRO,MADRID,MADRID NORTE
13990,M,55,CP17190,0,,ESTE,BARCELONA,BARCELONA NORTE
35859,F,39,CP15702,28919,A,SUR,SEVILLA,SEVILLA
17574,F,31,CP41500,35148,A,SUR,SEVILLA,SEVILLA
8632,M,34,CP26004,23443,E,NORTE,BILBAO,BILBAO
6245,F,40,CP41800,20972,J,CENTRO,MADRID,MADRID ESTE
53211,M,32,CP29014,29665,I,SUR,SEVILLA,SEVILLA
1467,M,60,CP28921,25545,B,CENTRO,MADRID,MADRID OESTE
19964,M,36,CP28012,0,,NORTE,BILBAO,BILBAO
30665,M,36,CP1002,0,,ESTE,BARCELONA,BARCELONA NORTE
86139,M,53,CP46850,24694,H,CENTRO,MADRID,MADRID OESTE
67144,M,37,CP8008,29834,C,ESTE,BARCELONA,BARCELONA CENTRO
50979,M,30,CP28028,33189,A,SUR,SEVILLA,SEVILLA
92730,M,29,CP14880,16345,J,ESTE,BARCELONA,BARCELONA SUR
19082,M,44,CP5214,18755,K,CENTRO,MADRID,MADRID ESTE
94719,F,31,CP48008,0,,ESTE,BARCELONA,BARCELONA SUR
67450,M,28,CP43006,0,,CENTRO,MADRID,MADRID NORTE
61265,M,34,CP48120,0,H,NORTE,BILBAO,BILBAO
77827,F,36,CP25199,0,,CENTRO,MADRID,MADRID SUR
73382,M,55,CP36206,28276,C,SUR,MALAGA,MALAGA
34635,F,40,CP8760,31105,D,ESTE,BARCELONA,BARCELONA SUR
31671,M,40,CP18198,0,,ESTE,BARCELONA,BARCELONA SUR
84212,M,49,CP3690,27906,D,CENTRO,MADRID,MADRID SUR
26103,M,48,CP34001,0,,SUR,SEVILLA,SEVILLA
28554,M,44,CP48902,23283,E,ESTE,BARCELONA,BARCELONA NORTE
82175,M,26,CP28017,24172,B,NORTE,BILBAO,BILBAO
6758,F,27,CP36205,28581,C,CENTRO,MADRID,MADRID ESTE
26393,F,53,CP36550,0,,ESTE,BARCELONA,BARCELONA NORTE
92642,M,41,CP19005,31739,A,CENTRO,MADRID,MADRID ESTE
78936,F,26,CP41012,32299,D,CENTRO,MADRID,MADRID ESTE
69774,M,40,CP7141,35305,C,CENTRO,MADRID,MADRID SUR
56208,M,42,CP26360,25047,H,CENTRO,MADRID,MADRID OESTE
94673,M,45,CP46018,0,,CENTRO,MADRID,MADRID ESTE
93951,M,36,CP20017,27202,,SUR,MALAGA,MALAGA
41380,F,47,CP8206,0,,NORTE,LA CORUÑA,LA CORUÑA
22748,F,47,CP28916,27422,E,CENTRO,MADRID,MADRID SUR
19095,M,33,CP4002,27265,B,ESTE,VALENCIA,VALENCIA
25261,M,32,CP35300,0,,CENTRO,MADRID,MADRID OESTE
76379,M,32,CP21610,0,,CENTRO,MADRID,MADRID SUR
634,F,26,CP8206,27228,G,CENTRO,MADRID,MADRID OESTE
55510,F,33,CP8940,29815,D,ESTE,BARCELONA,BARCELONA NORTE
46815,F,40,CP20001,29846,C,CENTRO,MADRID,MADRID SUR
59268,M,50,CP46113,0,,SUR,SEVILLA,SEVILLA
26015,M,28,CP44002,24930,U,CENTRO,MADRID,MADRID NORTE
56534,M,56,CP48200,31205,G,CENTRO,MADRID,MADRID ESTE
63698,M,48,CP14900,21652,D,CENTRO,MADRID,MADRID ESTE
74890,M,35,CP28922,29027,D,CENTRO,MADRID,MADRID OESTE
27476,F,48,CP39005,27509,E,CENTRO,MADRID,MADRID NORTE
13841,M,46,CP20140,31303,G,CENTRO,MADRID,MADRID ESTE
83,M,32,CP43003,27980,C,CENTRO,MADRID,MADRID OESTE
23441,M,35,CP15002,27343,C,CENTRO,MADRID,MADRID ESTE
36827,F,55,CP50011,20025,,ESTE,BARCELONA,BARCELONA CENTRO
18489,M,45,CP27866,25646,H,CENTRO,MADRID,MADRID NORTE
24143,M,37,CP28660,37095,A,SUR,MALAGA,MALAGA
19607,F,33,CP35001,23117,E,ESTE,BARCELONA,BARCELONA NORTE
98281,M,51,CP28041,24257,B,ESTE,BARCELONA,BARCELONA CENTRO
13153,F,44,CP46022,0,,CENTRO,MADRID,MADRID ESTE
64868,M,23,CP46830,23729,H,NORTE,LA CORUÑA,LA CORUÑA
29172,M,54,CP48003,27837,C,ESTE,BARCELONA,BARCELONA CENTRO
44330,M,43,CP8036,30980,C,CENTRO,MADRID,MADRID SUR
33435,M,34,CP43850,24964,C,CENTRO,MADRID,MADRID OESTE
75949,M,44,CP36205,27862,C,CENTRO,MADRID,MADRID NORTE
39791,M,30,CP41008,27422,E,CENTRO,MADRID,MADRID SUR
30772,M,37,CP48003,20852,G,CENTRO,MADRID,MADRID NORTE
66196,F,24,CP8027,31548,B,SUR,MALAGA,MALAGA
29446,M,45,CP15172,31485,C,ESTE,BARCELONA,BARCELONA SUR
16485,M,54,CP8110,25364,H,CENTRO,MADRID,MADRID NORTE
17129,F,29,CP23485,22104,K,ESTE,BARCELONA,BARCELONA NORTE
89996,M,59,CP29016,36769,A,ESTE,VALENCIA,VALENCIA
38695,M,41,CP28100,24584,E,ESTE,BARCELONA,BARCELONA NORTE
54077,M,28,CP28806,30007,D,CENTRO,MADRID,MADRID SUR
7190,F,46,CP48010,33954,A,CENTRO,MADRID,MADRID SUR
99327,M,42,CP30107,24487,I,NORTE,LA CORUÑA,LA CORUÑA
22169,M,52,CP48970,31162,G,SUR,SEVILLA,SEVILLA
42325,M,44,CP47195,37353,A,CENTRO,MADRID,MADRID ESTE
6768,F,70,CP33002,32347,A,CENTRO,MADRID,MADRID OESTE
83570,M,35,CP43004,0,,ESTE,VALENCIA,VALENCIA
55218,F,48,CP8940,0,,ESTE,BARCELONA,BARCELONA NORTE
82367,F,28,CP29012,28261,B,ESTE,BARCELONA,BARCELONA CENTRO
20819,F,51,CP36340,0,I,ESTE,BARCELONA,BARCELONA CENTRO
41465,F,74,CP8940,0,D,ESTE,BARCELONA,BARCELONA SUR
60350,F,38,CP28691,37170,A,CENTRO,MADRID,MADRID OESTE
28463,F,39,CP37115,18548,K,CENTRO,MADRID,MADRID SUR
58560,F,57,CP48903,0,E,CENTRO,MADRID,MADRID OESTE
61692,M,26,CP31016,33560,D,CENTRO,MADRID,MADRID ESTE
76028,M,36,CP8530,30535,C,ESTE,BARCELONA,BARCELONA CENTRO
27787,M,55,CP29010,22738,C,ESTE,VALENCIA,VALENCIA
66576,M,74,CP8041,29631,B,CENTRO,MADRID,MADRID NORTE
32532,F,47,CP1015,28530,D,CENTRO,MADRID,MADRID OESTE
57132,M,37,CP8754,25531,H,CENTRO,MADRID,MADRID OESTE
71224,M,67,CP28905,0,,ESTE,BARCELONA,BARCELONA CENTRO
36818,F,47,CP46023,33470,D,ESTE,VALENCIA,VALENCIA
94690,M,50,CP35011,35386,E,NORTE,LA CORUÑA,LA CORUÑA
34670,F,39,CP12005,31370,B,SUR,SEVILLA,SEVILLA
73829,M,43,CP8640,0,,CENTRO,MADRID,MADRID OESTE
24185,M,34,CP41020,30018,D,CENTRO,MADRID,MADRID SUR
19672,,75,CP37184,37698,A,CENTRO,MADRID,MADRID SUR
40612,M,54,CP3581,0,,NORTE,LA CORUÑA,LA CORUÑA
41073,M,60,CP28020,33166,A,CENTRO,MADRID,MADRID OESTE
26331,F,31,CP26007,30013,D,SUR,MALAGA,MALAGA
56219,M,33,CP46022,33075,D,ESTE,BARCELONA,BARCELONA NORTE
40800,F,71,CP30385,31833,C,NORTE,LA CORUÑA,LA CORUÑA
49790,M,59,CP31013,28973,E,ESTE,BARCELONA,BARCELONA NORTE
1712,M,36,CP29140,24424,I,ESTE,VALENCIA,VALENCIA
35531,M,41,CP11370,21148,I,NORTE,BILBAO,BILBAO
27441,M,71,CP24170,20522,K,CENTRO,MADRID,MADRID ESTE
14224,F,40,CP30007,30672,I,ESTE,BARCELONA,BARCELONA CENTRO
17858,M,46,CP36206,27331,C,CENTRO,MADRID,MADRID OESTE
91650,M,41,CP8221,28094,C,CENTRO,MADRID,MADRID OESTE
24553,M,48,CP8025,31400,B,CENTRO,MADRID,MADRID SUR
38078,M,54,CP17140,29829,J,CENTRO,MADRID,MADRID SUR
93420,M,29,CP50009,33156,C,ESTE,BARCELONA,BARCELONA SUR
28213,F,49,CP28027,37369,A,SUR,SEVILLA,SEVILLA
35590,M,57,CP41009,31952,C,ESTE,BARCELONA,BARCELONA SUR
36460,F,43,CP9006,0,,CENTRO,MADRID,MADRID OESTE
